H,split,model,MAE,RMSE,R2,n_test,tau,val_obj
1,test,XGB,0.915002167224884,1.2469317927608268,0.9820268750190735,51909,,
1,test,Huber,0.9332778025266406,1.312509831142933,0.9800866780960111,51909,,
1,test,Ridge,0.9432465434074402,1.2920484696381507,0.9807026982307434,51909,,
1,test,Hybrid,0.9893371076833739,1.3766035289826857,0.9780943400744133,51909,2.0,
1,test,Tuned-Hybrid,0.9966045198014571,1.3898888693046905,0.9776694850592458,51909,2.0,1.1389928228575186
1,test,RF,1.0928889344032233,1.4730339999086057,0.9749178866376882,51909,,
1,test,SG-Huber,1.2144901766228586,1.7178963011733173,0.965886013498113,51909,2.0,
1,test,Tuned-Huber-Graph,1.2155777765340794,1.7195698395330086,0.9658195148701925,51909,2.0,1.1389928228575186
1,test,Huber-Graph,1.2189243283440283,1.7231917213951788,0.9656753764326863,51909,2.0,
1,test,SG-Ridge,1.2427475452423096,1.6969824094832873,0.9667115807533264,51909,2.0,
3,test,XGB,1.3736565113067627,1.7860264900310554,0.9631264805793762,51909,,
3,test,Huber,1.439895034145054,1.8766983477366257,0.9592875228936834,51909,,
3,test,Ridge,1.4435027837753296,1.862200089444263,0.9599141478538513,51909,,
3,test,Hybrid,1.5319113257972072,2.01013083658344,0.9532924340175148,51909,2.0,
3,test,Tuned-Hybrid,1.5365089544311508,2.0172978521973803,0.9529587735192028,51909,2.0,1.8931857796848828
3,test,RF,1.696182770809477,2.210350326561722,0.9435244058992438,51909,,
3,test,SG-Huber,2.2001500911166665,2.912194901935653,0.9019653825213878,51909,2.0,
3,test,Tuned-Huber-Graph,2.202315004029878,2.914161884712234,0.9018329068231972,51909,2.0,1.8931857796848828
3,test,Huber-Graph,2.208272674707012,2.9192025870204374,0.9014930087160058,51909,2.0,
3,test,SG-Ridge,2.2671656608581543,2.8942632100612014,0.9031689167022705,51909,2.0,
6,test,XGB,1.7325313091278076,2.220964320782906,0.9429807066917419,51909,,
6,test,Huber,1.8233311351532886,2.3253388225238525,0.9374955311651454,51909,,
6,test,Ridge,1.8286675214767456,2.3193170229491904,0.9378188252449036,51909,,
6,test,Hybrid,1.9501456023482673,2.499037416083057,0.9278088265680235,51909,2.0,
6,test,Tuned-Hybrid,1.974887348143838,2.534645696850426,0.9257368947417232,51909,2.0,2.7971361729248114
6,test,RF,2.0164991005878345,2.592005798636961,0.9223376511072297,51909,,
6,test,SG-Huber,3.2703223504587897,4.1083112438661695,0.8048964101591473,51909,2.0,
6,test,Tuned-Huber-Graph,3.2714086660919617,4.108827119014235,0.8048474092891993,51909,2.0,2.7971361729248114
6,test,Huber-Graph,3.2775384337798266,4.112515344926919,0.8044969005600725,51909,2.0,
6,test,SG-Ridge,3.388082981109619,4.147009422348574,0.8012034893035889,51909,2.0,
12,test,XGB,1.956358551979065,2.4927564587366415,0.9281712770462036,51909,,
12,test,Huber,1.9910434710941176,2.5500818028058556,0.9248296091412516,51909,,
12,test,Ridge,1.997955560684204,2.546296129965215,0.9250526428222656,51909,,
12,test,RF,2.130834265676461,2.7334249048089694,0.9136319969572606,51909,,
12,test,Hybrid,2.1380070106088964,2.7458484196639175,0.9128451214403843,51909,6.0,
12,test,Tuned-Hybrid,2.156138516380503,2.7539857551711506,0.9123277881788003,51909,6.0,3.340831781052185
12,test,Tuned-Huber-Graph,3.1611649881154293,3.951565651215058,0.8195000909277778,51909,6.0,3.340831781052185
12,test,SG-Huber,3.162204105596449,3.949311287971992,0.8197059821237237,51909,6.0,
12,test,Huber-Graph,3.1627139723411704,3.9536972737253855,0.81930530158117,51909,6.0,
12,test,SG-Ridge,3.169084072113037,3.9497563781937894,0.8196653127670288,51909,6.0,
24,test,Huber,2.1382164853744885,2.746752262396949,0.9127877349743133,51909,,
24,test,Ridge,2.1429247856140137,2.7405758547753405,0.9131795167922974,51909,,
24,test,XGB,2.1632401943206787,2.794204203915439,0.909748375415802,51909,,
24,test,Hybrid,2.1814767540568765,2.8527414862577714,0.9059273409477333,51909,3.0,
24,test,Tuned-Hybrid,2.189690896119393,2.860219805943724,0.9054334809020917,51909,3.0,3.1609393775033103
24,test,RF,2.2516088392142297,2.9009469562421644,0.9027212100681791,51909,,
24,test,SG-Ridge,2.323598861694336,2.9910751147542336,0.8965826630592346,51909,3.0,
24,test,SG-Huber,2.3248724553762408,3.001301666449208,0.8958743122789813,51909,3.0,
24,test,Tuned-Huber-Graph,2.326034160498295,3.002919624525604,0.8957620167310699,51909,3.0,3.1609393775033103
24,test,Huber-Graph,2.3276390664975226,3.0047985175940717,0.8956315348534729,51909,3.0,
