H,split,model,percentile,threshold,tail_MAE,tail_RMSE,n_tail,tau,val_obj
1,test,Huber,90,20.899999618530273,0.9105154225769188,1.2598762817157623,5205,,
1,test,Huber,95,24.399999618530273,0.8261758384893974,1.1120893485370609,2609,,
1,test,Huber,99,29.4921875,0.7198070288491988,0.9364747075209459,520,,
1,test,Huber-Graph,90,20.899999618530273,1.1919707510077315,1.6477640081653762,5205,2.0,
1,test,Huber-Graph,95,24.399999618530273,1.0887769105460015,1.451435249181855,2609,2.0,
1,test,Huber-Graph,99,29.4921875,0.7963785390673728,0.9855145366274936,520,2.0,
1,test,Hybrid,90,20.899999618530273,0.9634359181773189,1.3217739795539913,5205,2.0,
1,test,Hybrid,95,24.399999618530273,0.8845554721737301,1.1909807961963164,2609,2.0,
1,test,Hybrid,99,29.4921875,0.6504377800873502,0.8376953767022649,520,2.0,
1,test,RF,90,20.899999618530273,1.0249118051248567,1.336562296307596,5205,,
1,test,RF,95,24.399999618530273,0.9762919425512705,1.2511857830737163,2609,,
1,test,RF,99,29.4921875,0.9129336545745125,1.085536535635219,520,,
1,test,Ridge,90,20.899999618530273,0.9221608638763428,1.2461235497238838,5205,,
1,test,Ridge,95,24.399999618530273,0.8623424768447876,1.1354066282522695,2609,,
1,test,Ridge,99,29.4921875,0.8186351656913757,1.032906098388018,520,,
1,test,SG-Huber,90,20.899999618530273,1.1846339647475925,1.6405303646950464,5205,2.0,
1,test,SG-Huber,95,24.399999618530273,1.0758962440808435,1.4397813971875728,2609,2.0,
1,test,SG-Huber,99,29.4921875,0.795903330318155,0.9933476759868018,520,2.0,
1,test,SG-Ridge,90,20.899999618530273,1.1788300275802612,1.5999526702317828,5205,2.0,
1,test,SG-Ridge,95,24.399999618530273,1.0938429832458496,1.4301973694864758,2609,2.0,
1,test,SG-Ridge,99,29.4921875,0.9152436256408691,1.1174834599647,520,2.0,
1,test,Tuned-Huber-Graph,90,20.899999618530273,1.1870428369000783,1.6423865973157208,5205,2.0,1.1389928228575186
