H,split,model,MAE,RMSE,R2,n_test,tau,val_obj
1,test,Hybrid,17.442973647700136,33.08713182117703,0.8879547830203713,51063,0.0,
1,test,Tuned-Hybrid,17.572128707563603,33.443537151874395,0.8855279429338623,51063,0.0,15.381166749297778
1,test,XGB,17.848146438598633,33.69338966082127,0.8838111162185669,51063,,
1,test,Huber,18.209650081202124,34.57754910790453,0.8776332312329067,51063,,
1,test,RF,18.295458352469964,34.20455789463369,0.8802589557242776,51063,,
1,test,Tuned-Huber-Graph,18.428872122061595,34.44039485730802,0.8786020585321065,51063,0.0,15.381166749297778
1,test,SG-Huber,18.434419908550808,34.42511802302682,0.8787097323797183,51063,0.0,
1,test,Huber-Graph,18.44762558029318,34.509396370388,0.8781151284023144,51063,0.0,
1,test,Ridge,18.990686416625977,34.29410937026941,0.8796311616897583,51063,,
1,test,SG-Ridge,19.055803298950195,34.25498402662104,0.879905641078949,51063,0.0,
3,test,Tuned-Hybrid,27.408942357920264,49.07350241660974,0.753527092261534,51063,0.0,23.794673390589157
3,test,XGB,27.416109085083008,48.7478289781004,0.7567875981330872,51063,,
3,test,Hybrid,27.674334357669974,49.60535333697291,0.7481556724258362,51063,0.0,
3,test,RF,28.281229781069133,49.11987647019265,0.7530610424436032,51063,,
3,test,Huber,28.376455930346722,49.846304719947426,0.7457031299936338,51063,,
3,test,SG-Huber,28.504898824368546,49.642975552740815,0.747773514693377,51063,0.0,
3,test,Tuned-Huber-Graph,28.514390621533575,49.66284885076935,0.7475715294020036,51063,0.0,23.794673390589157
3,test,Huber-Graph,28.55404714839063,49.7463638804028,0.7467218279653552,51063,0.0,
3,test,Ridge,29.292922973632812,49.210294412570576,0.7521510720252991,51063,,
3,test,SG-Ridge,29.33513069152832,49.34599870192744,0.7507822513580322,51063,0.0,
6,test,XGB,36.79845428466797,61.467963581649585,0.6133012771606445,51063,,
6,test,Hybrid,37.94653053090345,64.43212653675593,0.5751065767278767,51063,0.0,
6,test,Tuned-Hybrid,38.09562994548424,64.56829202616511,0.5733088103688848,51063,0.0,33.30351952935475
6,test,RF,38.19140122610457,62.24132159495813,0.6035095877899734,51063,,
6,test,Huber,38.53572002173594,63.555746755657694,0.58658642771197,51063,,
6,test,SG-Huber,38.82819655916653,63.851530149053595,0.5827294857903748,51063,0.0,
6,test,Tuned-Huber-Graph,38.84274769398545,63.872192610912556,0.58245938322322,51063,0.0,33.30351952935475
6,test,Huber-Graph,38.93506232735435,64.02187660501939,0.5805000836344765,51063,0.0,
6,test,Ridge,39.37241744995117,62.61433487341876,0.5987429618835449,51063,,
6,test,SG-Ridge,39.86649703979492,63.38892459821945,0.5887538194656372,51063,0.0,
12,test,XGB,47.82884979248047,74.32610985023197,0.4345972537994385,51063,,
12,test,RF,50.07986305535422,75.73072768204568,0.4130253596942258,51063,,
12,test,Huber,50.30328850707742,76.61582081641566,0.39922480095229673,51063,,
12,test,SG-Huber,50.66506386529347,77.04576482769362,0.3924631570846062,51063,0.0,
12,test,Tuned-Huber-Graph,50.79385003023373,77.20866162699514,0.3898914277128056,51063,0.0,44.87773043860494
12,test,Huber-Graph,50.867160509248215,77.30885637738938,0.3883069075504636,51063,0.0,
12,test,Hybrid,50.954381191212185,80.43785163395616,0.3377895892431837,51063,0.0,
12,test,Ridge,51.08711624145508,75.92204382312985,0.41005587577819824,51063,,
12,test,Tuned-Hybrid,51.21978843254055,80.92275325580567,0.32978154934013704,51063,0.0,44.87773043860494
12,test,SG-Ridge,51.89986038208008,76.6862965981374,0.3981189727783203,51063,0.0,
24,test,XGB,60.93389892578125,88.1344631443909,0.20500093698501587,51063,,
24,test,RF,62.40349681894717,88.01053999952427,0.20723503324056747,51063,,
24,test,SG-Huber,62.823658937162946,88.51450183129526,0.19813005216502544,51063,0.0,
24,test,Tuned-Huber-Graph,62.88650404063122,88.60609699462447,0.1964696369978438,51063,0.0,58.01452692374161
24,test,Huber-Graph,62.951190188435866,88.70520245090411,0.1946711427360529,51063,0.0,
24,test,Huber,63.07753209846495,89.60119304415852,0.1783201001574316,51063,,
24,test,SG-Ridge,63.459930419921875,87.07881610841841,0.22393131256103516,51063,0.0,
24,test,Ridge,63.6424560546875,87.67789672556448,0.21321630477905273,51063,,
24,test,Hybrid,68.86720716812893,100.22719142856432,-0.028125663689176017,51063,0.0,
24,test,Tuned-Hybrid,71.56078776661658,104.29258085680695,-0.11322232721065628,51063,0.0,58.01452692374161
