H,split,model,percentile,threshold,tail_MAE,tail_RMSE,n_tail,tau,val_obj
1,test,Huber,90,223.0,42.01042374938621,64.24167841357993,5161,,
1,test,Huber,95,286.0,51.63017738720739,77.27611107575164,2560,,
1,test,Huber,99,453.0,73.36923246863334,110.59401359450412,513,,
1,test,Huber-Graph,90,223.0,42.56741130102382,63.08270061403898,5161,0.0,
1,test,Huber-Graph,95,286.0,51.80382809000232,75.50477648913444,2560,0.0,
1,test,Huber-Graph,99,453.0,74.92291478160276,109.38973872934824,513,0.0,
1,test,Hybrid,90,223.0,37.70481309762713,56.21002319273405,5161,0.0,
1,test,Hybrid,95,286.0,45.501350610952,66.57818498822502,2560,0.0,
1,test,Hybrid,99,453.0,68.02435352461707,99.45455952083518,513,0.0,
1,test,RF,90,223.0,45.37232392871694,66.59039493742777,5161,,
1,test,RF,95,286.0,57.115087427912364,80.99246329867583,2560,,
1,test,RF,99,453.0,87.59191570558421,124.20183219934637,513,,
1,test,Ridge,90,223.0,44.49376678466797,65.48933894631247,5161,,
1,test,Ridge,95,286.0,55.86821365356445,80.0335836491079,2560,,
1,test,Ridge,99,453.0,84.43141174316406,118.80938071260408,513,,
1,test,SG-Huber,90,223.0,42.405784140832196,62.73131465601397,5161,0.0,
1,test,SG-Huber,95,286.0,51.75417233907026,75.22535473726825,2560,0.0,
1,test,SG-Huber,99,453.0,75.2421169400715,109.48689639020188,513,0.0,
1,test,SG-Ridge,90,223.0,45.46337890625,64.61215796606123,5161,0.0,
1,test,SG-Ridge,95,286.0,56.32133865356445,78.43585655648825,2560,0.0,
1,test,SG-Ridge,99,453.0,86.498291015625,117.57496777322544,513,0.0,
1,test,Tuned-Huber-Graph,90,223.0,42.4627290962398,62.84071196524602,5161,0.0,15.381166749297778
1,test,Tuned-Huber-Graph,95,286.0,51.709909802926894,75.26459060018415,2560,0.0,15.381166749297778
1,test,Tuned-Huber-Graph,99,453.0,74.98064070451738,109.30773791152629,513,0.0,15.381166749297778
1,test,Tuned-Hybrid,90,223.0,37.153873801328245,55.85708704094803,5161,0.0,15.381166749297778
1,test,Tuned-Hybrid,95,286.0,44.51867441567357,65.8815970587988,2560,0.0,15.381166749297778
1,test,Tuned-Hybrid,99,453.0,66.33761478455322,98.34946359965478,513,0.0,15.381166749297778
1,test,XGB,90,223.0,46.00300979614258,68.24986764524712,5161,,
1,test,XGB,95,286.0,60.466514587402344,85.46091143214247,2560,,
1,test,XGB,99,453.0,102.78328704833984,137.84322928375917,513,,
3,test,Huber,90,223.0,68.70508745264291,96.02763138937365,5161,,
3,test,Huber,95,286.0,85.89838067957331,116.11714456386314,2560,,
3,test,Huber,99,453.0,127.83963229616049,168.3501584809643,513,,
3,test,Huber-Graph,90,223.0,69.09888936872551,94.87260044930338,5161,0.0,
3,test,Huber-Graph,95,286.0,85.18446402521616,114.15809038321801,2560,0.0,
3,test,Huber-Graph,99,453.0,127.80967765981072,166.45762860355532,513,0.0,
