tau,val_MAE,H,family
0,14.930485377305837,1,dynamic
1,15.221037617634792,1,dynamic
2,15.240483923510197,1,dynamic
3,15.283536847560688,1,dynamic
6,15.304154515954288,1,dynamic
4,15.305593135072488,1,dynamic
0,14.913304434673629,1,static
1,15.219141987485843,1,static
2,15.245526443352794,1,static
3,15.289135378205453,1,static
6,15.309405149164999,1,static
4,15.310963030081393,1,static
0,22.40398729031611,3,dynamic
1,22.903866596362498,3,dynamic
6,22.96485845523676,3,dynamic
2,22.993443730685282,3,dynamic
4,23.017433932164494,3,dynamic
3,23.023421372977488,3,dynamic
0,22.36329621134348,3,static
1,22.91209758168983,3,static
6,22.97438952250813,3,static
2,23.004483479361696,3,static
4,23.03113548196692,3,static
3,23.03907537781749,3,static
0,29.98646592845673,6,dynamic
1,30.510031608041356,6,dynamic
6,30.59093834754492,6,dynamic
4,30.615092514287962,6,dynamic
2,30.62320782124269,6,dynamic
3,30.62784493200171,6,dynamic
0,29.93233503102671,6,static
1,30.513943913462263,6,static
6,30.601449078898504,6,static
4,30.631050063989434,6,static
2,30.63187807371503,6,static
3,30.637953236098948,6,static
0,38.36899297276144,12,dynamic
1,38.7495113744607,12,dynamic
2,38.90047918648437,12,dynamic
6,38.94934142521023,12,dynamic
3,38.956580875128076,12,dynamic
4,38.97063219417898,12,dynamic
0,38.2757815132649,12,static
1,38.70865317616815,12,static
2,38.874840181886924,12,static
6,38.9310199938749,12,static
3,38.93866037086286,12,static
4,38.95720800398219,12,static
0,46.27058124019458,24,dynamic
1,46.45340833221763,24,dynamic
2,46.538386089799964,24,dynamic
3,46.57389948125942,24,dynamic
4,46.59991133780961,24,dynamic
6,46.6452509743259,24,dynamic
0,46.22798443692978,24,static
1,46.4500566368767,24,static
2,46.53662417256953,24,static
3,46.581306253165856,24,static
4,46.60865403457022,24,static
6,46.65752543279241,24,static
