Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2023-01-01 00:00:00,46.25,192.5,6.6,17.7,14.75,17.05,4.15,0.6375,3.245,0.3,1.8,,,,,,80.75,0.3,223.25,0.0,0.0,11.5,745.0,
2023-01-01 01:00:00,75.25,457.5,14.65,22.325,23.8,21.875,5.575,1.7225,0.2,0.3,1.8,,,,,,83.0,0.44999999999999996,271.5,0.0,0.0,10.5,744.75,
2023-01-01 02:00:00,90.0,308.25,6.4,17.5,14.525,23.5,5.475,1.3475,0.9566666666666667,0.3,1.8,,,,,,83.5,0.375,278.25,0.0,0.0,10.75,744.0,
2023-01-01 03:00:00,68.25,186.5,15.700000000000001,20.225,23.5,23.5,5.35,1.4525000000000001,0.49666666666666665,0.35,2.025,,,,,,84.5,0.35,274.5,0.0,0.0,10.75,744.0,
2023-01-01 04:00:00,76.25,192.25,54.15,24.675,57.125,23.2,4.325,1.2325,0.35,0.4,2.5,,,,,,85.75,0.35,265.0,0.0,0.0,10.25,744.0,
2023-01-01 05:00:00,111.25,236.0,49.0,23.8,52.525,19.775,2.7,1.9324999999999999,0.485,0.4,2.875,,,,,,86.75,0.375,247.75,0.0,0.0,10.75,744.0,
2023-01-01 06:00:00,123.5,236.0,49.925,22.3,52.425,18.75,1.4,1.295,0.15,0.4,2.9,,,,,,87.0,0.4,269.75,0.0,0.0,15.25,745.0,
2023-01-01 07:00:00,121.25,201.25,49.275,25.0,53.325,19.224999999999998,1.325,3.373333333333333,0.405,0.4,2.9,,,,,,86.25,0.475,287.75,0.0,0.0,65.5,745.5,
2023-01-01 08:00:00,116.25,194.25,33.725,19.15,37.6,19.775,2.3,1.2125,0.26,0.4,2.9,,,,,,79.0,0.825,86.5,0.0,0.0,176.0,746.5,
2023-01-01 09:00:00,96.25,142.25,28.15,10.45,28.45,22.675,3.875,2.18,0.9375,0.4,2.9,,,,,,72.25,0.8250000000000001,63.0,0.0,0.0,223.75,747.0,
2023-01-01 10:00:00,49.25,73.75,25.95,7.025,24.825,22.475,5.533333333333334,,0.8875,0.45,3.2,,,,,,65.5,1.375,134.25,0.0,0.0,364.25,747.0,
2023-01-01 11:00:00,15.5,46.5,21.8,7.433333333333334,21.7,22.833333333333332,4.2,,1.3925,0.4,2.575,,,,,,64.0,1.675,198.5,0.0,0.0,397.5,746.5,
2023-01-01 12:00:00,20.0,49.75,16.3,8.133333333333333,18.066666666666666,22.7,1.9500000000000002,1.025,2.9050000000000002,0.4,2.3499999999999996,,,,,,63.75,1.7,214.25,0.0,0.0,401.5,745.75,
2023-01-01 13:00:00,20.0,56.5,13.25,8.2,15.175,18.375,0.5,2.6525,3.9475,0.4,2.025,,,,,,63.5,1.8,216.25,0.0,0.0,371.0,745.0,
2023-01-01 14:00:00,21.75,61.75,8.825,5.575,10.15,16.375,,1.4466666666666665,4.21,0.4,2.0,,,,,,65.0,1.9249999999999998,208.0,0.0,0.0,305.75,744.25,
2023-01-01 15:00:00,26.0,70.0,5.775,4.525,7.1,16.775,,,4.2975,0.4,2.0,,,,,,67.0,1.925,210.0,0.0,0.0,209.75,744.0,
2023-01-01 16:00:00,21.25,82.75,4.15,3.875,5.3999999999999995,17.025,0.6499999999999999,0.79,3.75,0.4,2.0,,,,,,68.75,2.0,226.75,0.0,0.0,107.75,744.0,
2023-01-01 17:00:00,17.75,66.25,3.85,3.875,5.2,22.85,1.0,1.4725,4.145,0.4,2.0,,,,,,72.0,1.65,227.0,0.0,0.0,31.5,744.0,
2023-01-01 18:00:00,24.75,65.0,3.5500000000000003,4.7,5.4,26.575,1.625,0.88,4.57,0.4,2.0,,,,,,74.0,1.275,167.75,0.0,0.0,11.0,744.0,
2023-01-01 19:00:00,27.0,66.25,5.05,4.45,6.475,27.4,2.15,1.755,4.1025,0.225,1.6,,,,,,74.0,1.35,167.0,0.0,0.0,10.75,745.0,
2023-01-01 20:00:00,17.75,58.5,4.825,5.2,6.7,27.775,4.975,0.575,4.7725,0.2,1.5,,,,,,74.75,1.1,177.75,0.0,0.0,10.75,745.0,
2023-01-01 21:00:00,19.5,51.25,4.65,4.875,6.3500000000000005,21.075,4.775,2.1725,5.6825,0.2,1.4249999999999998,,,,,,75.0,1.025,232.75,0.0,0.0,11.25,746.0,
2023-01-01 22:00:00,27.0,52.75,4.875,3.925,6.05,17.825,4.45,0.06,6.23,0.2,1.4,,,,,,75.25,0.85,255.75,0.0,0.0,11.5,745.5,
2023-01-01 23:00:00,27.25,65.25,3.875,3.175,4.85,18.7,5.025,0.5366666666666666,6.245,0.2,1.4,,,,,,76.25,0.725,270.0,0.0,0.0,11.5,745.75,
2023-01-02 00:00:00,28.25,94.5,3.975,4.0,5.375,18.75,3.725,0.545,6.405,0.2,1.4,,,,,,77.5,0.425,331.5,0.0,0.0,11.5,745.0,
2023-01-02 01:00:00,28.5,87.75,3.6,4.2,5.2,22.575,4.875,1.0825,6.6125,0.2,1.4,,,,,,76.25,0.55,307.75,0.0,0.0,11.0,744.75,
2023-01-02 02:00:00,28.5,85.75,3.6,2.85,4.45,24.4,5.6,1.555,6.8933333333333335,0.2,1.4,,,,,,76.0,0.525,327.0,0.0,0.0,11.0,744.0,
2023-01-02 03:00:00,32.25,127.5,10.2,9.6,13.375,24.950000000000003,5.875,0.96,2.53,0.2,1.475,,,,,,78.75,0.475,335.75,0.0,0.0,11.0,744.0,
