Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2023-01-01 00:00:00,32.5,56.0,5.2250000000000005,50.55,31.125,15.774999999999999,4.8,0.9175,9.94,2.275,8.525,,,,,,89.75,0.3,118.5,0.0,0.0,31.75,755.25,
2023-01-01 01:00:00,39.5,69.75,38.8,73.75,70.75,15.5,3.6,1.6425,8.2575,2.9,9.6,,,,,,90.0,0.3,118.75,0.0,0.0,31.75,755.25,
2023-01-01 02:00:00,67.5,128.75,29.425,48.125,49.525,17.625,2.825,1.4675,7.760000000000001,4.0,12.375,,,,,,90.75,0.3,116.0,0.0,0.0,31.75,755.0,
2023-01-01 03:00:00,100.5,153.5,42.625,44.0,58.025,17.825,2.3,1.4166666666666667,14.396666666666667,4.4,15.35,,,,,,91.5,0.3,116.0,0.0,0.0,31.75,755.25,
2023-01-01 04:00:00,92.0,141.5,19.225,41.4,37.675,17.425,4.2,1.275,12.7,4.925,15.575000000000001,,,,,,92.0,0.3,166.5,0.0,0.0,31.75,755.5,
2023-01-01 05:00:00,77.25,122.75,21.025,41.725,39.275,17.575000000000003,3.625,1.3525,9.795,5.75,15.55,,,,,,92.0,0.3,270.75,0.0,0.0,31.75,755.25,
2023-01-01 06:00:00,74.5,140.75,75.375,43.825,84.575,18.025,5.175,2.0975,9.5575,6.025,16.25,,,,,,92.5,0.3,271.75,0.0,0.0,34.25,755.5,
2023-01-01 07:00:00,95.25,165.25,54.175,48.05,69.6,18.825,5.05,2.0933333333333333,8.525,6.75,20.125,,,,,,92.5,0.3,271.25,0.0,0.0,47.25,755.0,
2023-01-01 08:00:00,104.25,172.5,21.65,45.5,41.85,18.375,3.775,1.3075,5.84,6.325,19.875,,,,,,87.75,0.3,314.25,0.0,0.0,64.5,752.25,
2023-01-01 09:00:00,78.25,129.75,5.425,17.85,13.899999999999999,14.175,3.375,0.5666666666666667,9.805,5.55,15.2,,,,,,78.0,0.325,222.75,0.0,0.0,79.5,750.0,
2023-01-01 10:00:00,30.25,46.25,1.9000000000000001,8.5,5.65,15.4,3.1333333333333333,0.25,7.385,7.35,10.95,,,,,,74.0,0.3,118.0,0.0,0.0,70.0,749.0,
2023-01-01 11:00:00,20.25,34.25,1.7333333333333334,7.433333333333334,5.366666666666667,13.700000000000001,1.9000000000000001,0.2333333333333333,8.085,5.4,9.525,,,,,,72.75,0.325,145.25,0.0,0.0,135.25,748.0,
2023-01-01 12:00:00,24.0,38.5,3.7000000000000006,4.066666666666666,5.2,17.2,3.325,0.4075,15.0375,4.95,9.525,,,,,,72.5,0.4,153.5,0.0,0.0,266.0,748.25,
2023-01-01 13:00:00,23.0,32.75,1.9,4.275,3.85,12.2,3.525,0.4125,10.4575,4.5,10.25,,,,,,71.0,0.375,101.75,0.0,0.0,281.5,748.0,
2023-01-01 14:00:00,20.5,34.75,2.775,8.15,6.55,11.175,3.45,0.3725,9.4175,4.125,10.375,,,,,,71.0,0.35,173.75,0.0,0.0,232.75,748.0,
2023-01-01 15:00:00,20.75,25.0,2.8,6.275,5.6,11.85,3.45,0.38000000000000006,9.41,3.6,10.175,,,,,,72.75,0.325,198.0,0.0,0.0,169.5,749.0,
2023-01-01 16:00:00,16.75,26.25,3.05,12.075,8.875,12.65,2.975,0.4275,7.696666666666666,3.175,10.175,,,,,,74.75,0.475,203.0,0.0,0.0,101.5,751.0,
2023-01-01 17:00:00,14.25,27.75,3.9000000000000004,12.475,9.025,11.55,2.5,0.4925,5.543333333333333,2.7,9.425,,,,,,77.75,0.3,249.25,0.0,0.0,44.5,752.75,
2023-01-01 18:00:00,11.25,25.5,5.85,18.175,14.424999999999999,11.725,3.175,0.5325,9.265,2.1750000000000003,8.85,,,,,,80.5,0.3,281.25,0.0,0.0,31.75,755.0,
2023-01-01 19:00:00,17.25,36.0,2.95,16.675,11.25,12.35,3.925,0.5366666666666667,9.4475,2.125,8.7,,,,,,80.75,0.3,305.0,0.0,0.0,31.5,754.75,
2023-01-01 20:00:00,17.75,32.0,2.4,13.4,9.1,12.0,2.375,0.3875,11.0725,2.05,8.075,,,,,,81.25,0.3,134.25,0.0,0.0,32.25,754.75,
