Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,46.49,68.04,37.7,56.68,94.38,30.32,10.08,3.24,17.82,0.1,1.17,,,0.46,0.51,,85.96,1.33,175.88,,,0.4,759.3,-0.51
2024-01-01 01:00:00,41.03,61.51,39.56,54.32,93.86,30.87,10.45,5.53,18.29,0.34,0.93,,,0.51,0.48,,91.18,1.37,174.6,,,,759.0,-0.51
2024-01-01 02:00:00,39.34,59.46,38.54,46.94,85.64,30.68,9.63,5.58,17.85,0.58,1.16,,,0.49,0.48,,96.2,1.35,169.18,,,0.2,758.72,-0.51
2024-01-01 03:00:00,38.36,58.28,35.55,40.61,76.16,29.73,9.91,5.99,17.76,0.24,1.52,,,0.2,0.23,,95.91,1.35,175.39,,,0.39,758.49,-0.51
2024-01-01 04:00:00,36.19,55.69,31.59,36.78,68.38,29.05,9.26,5.8,18.36,0.36,0.95,,,0.36,0.27,,94.25,1.36,178.94,,,0.21,758.66,-0.51
2024-01-01 05:00:00,36.02,55.48,43.31,58.26,101.56,31.7,9.62,5.48,17.93,0.36,0.74,,,0.56,0.41,,93.38,1.33,189.04,,,0.78,759.11,-0.51
2024-01-01 06:00:00,36.56,56.13,40.41,56.56,97.17,31.64,9.93,5.23,17.96,0.2,0.96,,,0.39,0.5,,89.52,1.33,200.96,,,2.79,759.51,-0.5
2024-01-01 07:00:00,34.59,53.75,29.09,47.13,76.21,29.47,10.12,4.43,17.08,0.38,1.3,,,0.25,0.14,,86.34,1.33,210.27,,,18.77,760.01,-0.5
2024-01-01 08:00:00,35.04,54.3,14.2,37.73,51.92,28.28,9.94,3.98,17.96,0.4,0.96,,,0.22,0.29,,78.57,1.32,222.18,,,36.5,760.4,-0.5
2024-01-01 09:00:00,33.38,52.31,6.42,28.68,35.09,27.58,10.34,5.24,25.15,0.37,1.54,,,0.53,0.31,,73.3,1.2,218.47,,,49.09,760.46,-0.5
2024-01-01 10:00:00,31.95,50.6,8.02,22.4,30.46,28.58,9.9,5.26,37.73,0.41,0.5,,,0.59,0.24,,67.9,1.3,240.71,,,83.9,760.09,-0.5
2024-01-01 11:00:00,31.98,50.63,7.97,18.96,26.92,28.97,10.59,5.0,47.85,0.32,0.97,,,0.3,0.26,,65.26,1.32,233.14,,,79.38,759.45,-0.5
2024-01-01 12:00:00,34.86,54.08,8.07,24.62,32.69,29.1,8.93,3.79,41.43,0.3,0.53,,,0.26,0.41,,65.31,1.27,242.34,,,66.06,758.7,-0.5
2024-01-01 13:00:00,35.91,55.34,8.22,28.74,36.96,28.37,9.28,3.1,35.35,0.4,1.64,,,0.28,0.44,,62.76,1.26,242.55,,,67.9,757.97,-0.5
2024-01-01 14:00:00,38.38,58.31,9.73,41.74,51.54,29.36,9.58,4.52,28.7,0.66,0.74,,,0.3,0.13,,61.64,1.3,248.06,,,58.76,757.46,-0.5
2024-01-01 15:00:00,37.95,57.78,8.2,34.26,42.47,29.08,9.95,4.88,38.49,0.12,0.8,,,0.29,0.38,,63.87,1.24,245.36,,,44.7,757.14,-0.5
2024-01-01 16:00:00,34.72,53.9,7.88,16.74,24.62,27.03,8.64,4.18,46.28,0.88,0.76,,,0.48,0.7,,63.86,1.24,247.27,,,25.82,757.16,-0.5
2024-01-01 17:00:00,35.9,55.33,7.89,17.52,25.41,26.32,8.34,4.75,41.21,0.35,0.7,,,0.25,0.26,,65.78,1.18,242.73,,,6.27,757.65,-0.5
2024-01-01 18:00:00,33.7,52.69,8.1,22.62,30.75,25.75,8.55,4.86,34.26,0.65,1.28,,,0.51,0.48,,66.75,1.17,245.53,,,0.13,758.32,-0.51
2024-01-01 19:00:00,35.16,54.44,8.36,32.85,41.22,26.05,9.31,4.66,25.26,0.14,1.1,,,0.45,0.45,,68.5,1.16,241.79,,,0.24,759.02,-0.5
2024-01-01 20:00:00,34.05,53.11,8.4,30.86,39.26,25.29,9.53,5.3,25.96,0.48,1.08,,,0.2,0.45,,70.4,1.17,193.14,,,0.23,759.66,-0.51
2024-01-01 21:00:00,33.93,52.96,11.44,35.55,46.99,24.96,9.65,4.55,19.42,0.38,1.31,,,0.5,0.54,,71.36,1.1,214.25,,,0.67,759.93,-0.51
2024-01-01 22:00:00,31.56,50.12,16.49,44.22,60.7,25.28,8.48,5.03,17.55,0.08,0.68,,,0.42,0.4,,71.21,0.93,215.35,,,0.55,759.58,-0.51
2024-01-01 23:00:00,30.94,49.38,16.16,41.98,58.15,25.34,9.31,5.51,18.68,1.09,1.02,,,0.55,0.46,,74.3,1.27,191.06,,,0.18,759.3,-0.51
2024-01-02 00:00:00,32.56,51.33,23.16,45.45,68.61,26.19,9.38,5.31,17.94,0.79,1.14,,,0.34,0.38,,81.97,1.38,165.24,,,,758.98,-0.51
2024-01-02 01:00:00,34.89,54.12,42.93,68.65,111.58,29.54,9.29,3.38,17.88,0.84,1.37,,,0.22,0.22,,86.78,1.38,165.24,,,,758.49,-0.51
