Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,62.81,109.12,2.38,42.34,35.98,13.46,7.52,1.23,18.56,0.89,1.62,,,0.14,0.44,,87.47,1.22,207.47,,,80.35,1009.0,-0.44
2024-01-01 01:00:00,65.04,112.85,2.81,21.58,19.74,19.14,5.84,1.46,15.97,1.05,2.01,,,0.17,0.52,,98.55,0.5,195.6,,,80.7,1008.65,-0.47
2024-01-01 02:00:00,69.24,119.84,6.83,18.9,18.66,27.37,6.29,1.61,11.8,1.2,2.34,,,0.2,0.57,,98.59,0.5,120.77,,,78.4,1008.35,-0.46
2024-01-01 03:00:00,78.28,134.91,1.0,25.02,20.97,22.6,6.01,1.53,12.68,1.6,2.73,,,0.21,0.6,,98.6,0.34,172.6,,,78.3,1008.18,-0.47
2024-01-01 04:00:00,79.56,137.04,1.78,26.84,23.84,20.06,7.12,1.42,10.66,1.7,2.73,,,0.2,0.55,,98.6,1.15,227.21,,,81.62,1008.25,-0.45
2024-01-01 05:00:00,72.72,125.64,0.72,14.71,7.4,15.44,6.49,1.42,11.7,1.95,2.71,,,0.2,0.5,,98.6,1.07,219.31,,,85.85,1008.68,-0.45
2024-01-01 06:00:00,78.46,135.21,1.46,16.71,6.18,4.73,7.23,1.41,11.96,2.24,2.78,,,0.2,0.51,,98.6,1.6,220.87,,,86.2,1009.15,-0.42
2024-01-01 07:00:00,83.93,144.32,6.52,21.31,19.65,19.51,6.11,1.36,16.08,2.35,2.94,,,0.19,0.5,,98.57,1.78,218.15,,,99.85,1009.7,-0.4
2024-01-01 08:00:00,79.24,136.5,2.75,19.08,11.62,12.22,6.78,0.25,24.31,2.12,3.59,,,0.18,0.51,,98.52,1.79,218.88,,,97.98,1010.18,-0.4
2024-01-01 09:00:00,71.19,123.08,6.69,19.86,15.42,16.47,6.1,0.98,31.42,1.68,3.84,,,0.15,0.44,,97.24,2.22,216.47,,,114.22,1010.45,-0.37
2024-01-01 10:00:00,66.76,115.69,9.72,24.15,26.95,24.41,7.02,0.18,35.75,1.25,2.49,,,0.12,0.36,,82.9,2.76,218.45,,,121.85,1010.22,-0.33
2024-01-01 11:00:00,59.02,102.84,52.01,54.88,106.89,100.34,9.34,1.16,26.47,1.04,1.89,,,0.12,0.36,,76.0,2.9,231.62,,,165.18,1009.7,-0.32
2024-01-01 12:00:00,54.62,95.47,29.56,12.66,15.98,21.55,12.59,1.18,28.17,1.01,1.97,,,0.15,0.46,,71.94,2.88,233.91,,,215.88,1009.0,-0.32
2024-01-01 13:00:00,49.4,86.8,11.87,10.56,18.33,22.34,7.62,2.24,33.17,0.7,1.42,,,0.13,0.37,,65.54,2.55,245.48,,,214.12,1008.32,-0.34
2024-01-01 14:00:00,46.49,81.92,11.53,12.5,24.03,28.71,18.48,1.91,34.9,0.6,1.02,,,0.1,0.3,,67.98,2.23,259.76,,,212.68,1007.88,-0.36
2024-01-01 15:00:00,47.64,83.84,6.92,10.46,17.38,22.28,10.95,1.69,36.36,0.54,0.77,,,0.08,0.23,,66.3,2.18,262.57,,,234.8,1007.48,-0.36
2024-01-01 16:00:00,45.42,80.11,4.46,9.33,13.8,18.33,14.95,0.76,40.08,0.5,0.64,,,0.07,0.19,,67.69,2.24,253.18,,,184.95,1007.45,-0.37
2024-01-01 17:00:00,44.65,78.86,4.2,10.15,14.36,19.71,5.81,0.78,39.2,0.56,0.6,,,0.07,0.18,,72.3,1.66,258.54,,,94.68,1007.8,-0.41
