Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,141.5,,5.85,51.75,32.3,13.9,19.95,,,,,,,,,,82.0,1.3,,0.0,0.0,51.0,719.0,
2024-01-01 01:00:00,179.0,,4.25,41.7,25.65,18.98,13.12,,,,,,,,,,85.0,1.0,,0.0,0.0,51.0,719.0,
2024-01-01 02:00:00,101.75,,3.72,26.98,17.38,27.02,7.72,,,,,,,,,,87.0,1.18,,0.0,0.0,51.0,719.0,
2024-01-01 03:00:00,85.0,,3.48,21.8,14.4,28.82,9.12,,,,,,,,,,88.0,1.4,,0.0,0.0,51.0,719.0,
2024-01-01 04:00:00,78.75,,4.82,18.7,13.88,29.55,9.43,,,,,,,,,,88.75,1.38,,0.0,0.0,51.0,719.0,
2024-01-01 05:00:00,69.75,,3.35,21.62,14.22,28.75,12.58,,,,,,,,,,88.0,1.83,,0.0,0.0,51.0,719.0,
2024-01-01 06:00:00,74.0,,4.42,22.55,15.6,24.25,8.0,,,,,,,,,,88.0,1.42,,0.0,0.0,58.0,719.0,
2024-01-01 07:00:00,81.5,,5.35,29.78,20.2,21.42,11.08,,,,,,,,,,85.75,1.92,,0.0,0.0,122.75,719.0,
2024-01-01 08:00:00,91.25,,5.7,28.42,19.77,23.52,27.75,,,,,,,,,,80.75,2.38,,0.0,0.0,237.75,748.5,
2024-01-01 09:00:00,105.75,,5.68,21.48,16.05,27.8,19.35,,,,,,,,,,76.0,2.58,,0.0,0.0,361.25,756.0,
2024-01-01 10:00:00,96.67,,4.7,18.43,13.63,32.1,19.45,,,,,,,,,,72.67,2.67,,0.0,0.0,456.67,756.33,
2024-01-01 11:00:00,82.75,,5.4,17.9,13.93,31.23,19.47,,,,,,,,,,70.75,3.02,,0.0,0.0,381.75,756.5,
2024-01-01 12:00:00,76.0,88.5,5.0,19.0,14.18,25.85,29.25,,,,,,,,,,70.0,2.78,,0.0,0.0,352.0,756.25,
2024-01-01 13:00:00,85.5,149.25,4.12,18.4,13.15,29.08,21.65,,,,,,,,,,69.75,2.8,,0.0,0.0,225.0,756.75,
2024-01-01 14:00:00,82.5,129.5,4.92,20.9,15.1,26.38,23.5,,,,,,,,,,70.25,2.78,,0.0,0.0,176.5,757.0,
