Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,32.25,129.25,2.28,17.75,11.3,18.08,39.22,,5.88,3.3,7.4,,,,,,71.5,0.3,,0.0,0.0,16.0,,
2024-01-01 01:00:00,42.75,191.25,4.1,17.55,12.62,19.02,38.78,,5.78,3.3,7.4,,,,,,71.75,0.42,84.75,0.0,0.0,16.0,,
2024-01-01 02:00:00,42.5,169.0,4.92,18.35,13.75,19.35,35.55,,6.21,3.3,7.4,,,,,,72.0,0.52,86.25,0.0,0.0,16.0,,
2024-01-01 03:00:00,36.0,173.25,4.22,17.05,12.55,21.05,35.15,,6.08,3.3,7.4,,,,,,71.0,0.6,74.75,0.0,0.0,16.25,,
2024-01-01 04:00:00,39.5,173.75,5.12,15.2,12.28,20.78,35.95,,5.68,3.3,7.4,,,,,,71.25,0.68,61.25,0.0,0.0,16.25,,
2024-01-01 05:00:00,40.75,171.75,5.05,15.58,12.38,21.58,38.9,,6.03,3.3,7.4,,,,,,70.75,0.55,70.75,0.0,0.0,16.5,,
2024-01-01 06:00:00,40.0,195.0,5.3,18.37,14.07,22.2,42.17,,5.69,3.3,7.4,,,,,,71.67,0.47,73.67,0.0,0.0,17.33,,
2024-01-01 07:00:00,58.0,235.25,7.05,14.7,13.55,20.9,43.82,,6.32,3.3,7.4,,,,,,70.5,0.88,61.25,0.0,0.0,65.25,,
2024-01-01 08:00:00,43.25,173.0,6.0,8.05,9.15,16.6,39.33,,6.17,3.3,7.4,,,,,,71.75,1.35,70.25,0.0,0.0,144.75,,
2024-01-01 09:00:00,36.5,121.75,3.5,8.12,7.2,16.92,38.67,,5.93,3.3,7.4,,,,,,72.25,1.78,85.5,0.0,0.0,228.25,,
2024-01-01 10:00:00,38.25,134.0,3.4,10.1,8.12,18.05,38.53,,5.78,3.3,7.4,,,,,,71.5,2.05,99.0,0.0,0.0,262.5,,
2024-01-01 11:00:00,30.0,149.5,3.03,14.73,10.37,19.37,46.73,,6.08,3.3,7.4,,,,,,71.25,2.55,133.0,0.0,0.0,199.75,,
2024-01-01 12:00:00,31.25,160.25,2.33,20.93,13.03,23.17,41.65,0.63,5.88,3.3,7.4,,,,,,70.5,2.48,104.25,0.0,0.0,96.0,,
2024-01-01 13:00:00,32.67,153.0,2.45,13.68,9.25,18.52,42.78,,5.73,3.3,7.4,,,,,,71.5,2.82,173.0,0.0,0.0,109.25,,
2024-01-01 14:00:00,26.75,125.0,2.33,11.38,7.92,18.1,41.32,,5.78,3.3,7.4,,,,,,71.25,2.82,257.5,0.0,0.0,116.75,,
2024-01-01 15:00:00,21.75,110.0,1.57,7.38,4.8,20.05,45.25,,5.64,3.3,7.4,,,,,,69.25,2.8,291.0,0.0,0.0,118.0,,
2024-01-01 16:00:00,18.5,100.75,1.98,7.1,5.35,20.92,41.12,,5.78,3.3,7.4,,,,,,69.5,2.6,289.0,0.0,0.0,84.25,,
2024-01-01 17:00:00,21.25,99.75,2.25,9.05,6.65,20.42,37.92,,5.49,3.3,7.4,,,,,,69.75,1.8,,0.0,0.0,25.75,,
2024-01-01 18:00:00,24.0,103.5,2.0,11.3,7.72,20.9,36.9,,5.68,3.3,7.4,,,,,,70.0,1.58,312.0,0.0,0.0,16.0,,
2024-01-01 19:00:00,22.0,109.0,1.98,12.08,8.05,20.88,35.95,,5.64,3.3,7.4,,,,,,70.25,1.5,347.0,0.0,0.0,16.0,,
2024-01-01 20:00:00,21.0,82.25,2.15,11.55,7.93,20.38,35.45,,5.93,3.3,7.4,,,,,,70.25,1.55,,0.0,0.0,16.0,,
2024-01-01 21:00:00,17.75,75.0,3.02,12.4,9.07,18.9,34.28,,5.54,3.3,7.4,,,,,,71.25,1.18,,0.0,0.0,16.0,,
2024-01-01 22:00:00,17.25,78.25,2.3,12.25,8.45,18.73,33.48,,5.93,3.3,7.4,,,,,,70.25,1.25,,0.0,0.0,16.0,,
