Timestamp,PM2.5 (µg/m³),PM10 (µg/m³)
2025-04-01 00:00:00,35.55,59.38
2025-04-01 01:00:00,36.46,58.85
2025-04-01 02:00:00,36.95,57.70
2025-04-01 03:00:00,36.24,56.89
2025-04-01 04:00:00,39.25,56.23
2025-04-01 05:00:00,56.49,69.07
2025-04-01 06:00:00,73.94,89.96
2025-04-01 07:00:00,78.36,100.36
2025-04-01 08:00:00,50.48,85.44
2025-04-01 09:00:00,19.87,63.70
2025-04-01 10:00:00,4.04,44.85
2025-04-01 11:00:00,2.80,34.88
2025-04-01 12:00:00,11.22,37.89
2025-04-01 13:00:00,19.56,44.62
2025-04-01 14:00:00,22.62,48.38
2025-04-01 15:00:00,24.10,51.51
2025-04-01 16:00:00,25.16,54.16
2025-04-01 17:00:00,19.90,53.09
2025-04-01 18:00:00,14.06,54.86
2025-04-01 19:00:00,13.32,55.45
2025-04-01 20:00:00,17.94,51.58
2025-04-01 21:00:00,19.50,40.75
2025-04-01 22:00:00,18.80,37.28
2025-04-01 23:00:00,24.33,41.99
2025-04-02 00:00:00,32.26,49.79
2025-04-02 01:00:00,38.02,53.28
2025-04-02 02:00:00,35.60,53.96
2025-04-02 03:00:00,30.59,47.06
2025-04-02 04:00:00,28.60,36.07
2025-04-02 05:00:00,29.05,35.27
2025-04-02 06:00:00,40.28,54.79
2025-04-02 07:00:00,67.39,89.14
2025-04-02 08:00:00,64.77,96.34
2025-04-02 09:00:00,34.16,72.45
2025-04-02 10:00:00,6.10,45.46
2025-04-02 11:00:00,NA,32.09
2025-04-02 12:00:00,1.33,25.59
2025-04-02 13:00:00,4.63,22.52
2025-04-02 14:00:00,9.30,30.60
2025-04-02 15:00:00,15.16,36.72
2025-04-02 16:00:00,19.49,44.51
2025-04-02 17:00:00,21.72,46.82
2025-04-02 18:00:00,26.20,45.10
2025-04-02 19:00:00,31.13,42.02
2025-04-02 20:00:00,31.54,38.69
2025-04-02 21:00:00,23.75,35.15
2025-04-02 22:00:00,21.99,32.42
2025-04-02 23:00:00,22.61,31.64
2025-04-03 00:00:00,31.42,34.82
2025-04-03 01:00:00,NA,NA
2025-04-03 02:00:00,32.47,35.08
2025-04-03 03:00:00,26.66,32.67
2025-04-03 04:00:00,19.18,24.63
2025-04-03 05:00:00,18.95,27.42
2025-04-03 06:00:00,21.66,29.12
2025-04-03 07:00:00,19.47,33.53
2025-04-03 08:00:00,9.62,30.54
2025-04-03 09:00:00,11.90,31.51
2025-04-03 10:00:00,12.20,32.46
2025-04-03 11:00:00,14.34,36.74
2025-04-03 12:00:00,18.91,42.84
2025-04-03 13:00:00,15.95,38.98
2025-04-03 14:00:00,9.68,33.59
2025-04-03 15:00:00,2.62,29.78
2025-04-03 16:00:00,NA,26.76
2025-04-03 17:00:00,1.40,27.02
2025-04-03 18:00:00,5.62,33.20
2025-04-03 19:00:00,13.20,41.02
2025-04-03 20:00:00,15.60,35.66
2025-04-03 21:00:00,15.02,30.94
2025-04-03 22:00:00,17.33,31.06
2025-04-03 23:00:00,20.37,38.30
2025-04-04 00:00:00,20.18,39.67
2025-04-04 01:00:00,19.59,39.96
2025-04-04 02:00:00,17.33,41.54
2025-04-04 03:00:00,17.51,37.20
2025-04-04 04:00:00,30.74,49.36
2025-04-04 05:00:00,72.82,86.77
2025-04-04 06:00:00,105.15,121.40
2025-04-04 07:00:00,105.84,131.12
2025-04-04 08:00:00,30.19,57.56
2025-04-04 09:00:00,NA,5.96
2025-04-04 10:00:00,0.02,12.31
2025-04-04 11:00:00,3.20,32.04
2025-04-04 12:00:00,11.64,54.44
2025-04-04 13:00:00,14.99,62.05
2025-04-04 14:00:00,15.47,60.09
2025-04-04 15:00:00,19.40,67.02
2025-04-04 16:00:00,26.52,65.89
2025-04-04 17:00:00,27.39,58.01
2025-04-04 18:00:00,23.84,42.08
2025-04-04 19:00:00,20.99,36.48
2025-04-04 20:00:00,18.91,33.21
2025-04-04 21:00:00,13.15,29.31
2025-04-04 22:00:00,9.15,21.06
2025-04-04 23:00:00,11.30,21.99
2025-04-05 00:00:00,19.46,25.88
2025-04-05 01:00:00,21.53,27.10
2025-04-05 02:00:00,21.42,30.89
2025-04-05 03:00:00,18.79,30.68
2025-04-05 04:00:00,32.16,48.28
2025-04-05 05:00:00,91.83,111.84
2025-04-05 06:00:00,118.02,142.57
2025-04-05 07:00:00,98.50,127.54
2025-04-05 08:00:00,52.32,87.72
2025-04-05 09:00:00,10.56,40.90
2025-04-05 10:00:00,30.19,47.82
2025-04-05 11:00:00,18.16,37.83
2025-04-05 12:00:00,NA,7.48
2025-04-05 13:00:00,0.01,0.17
2025-04-05 14:00:00,2.14,4.30
2025-04-05 15:00:00,7.40,15.61
2025-04-05 16:00:00,8.80,20.31
2025-04-05 17:00:00,8.62,19.17
2025-04-05 18:00:00,9.44,20.10
2025-04-05 19:00:00,9.91,25.52
2025-04-05 20:00:00,10.39,28.70
2025-04-05 21:00:00,13.08,28.76
2025-04-05 22:00:00,12.18,28.01
2025-04-05 23:00:00,5.02,29.52
2025-04-06 00:00:00,4.32,38.99
2025-04-06 01:00:00,7.06,42.64
2025-04-06 02:00:00,12.13,38.66
2025-04-06 03:00:00,17.90,42.20
2025-04-06 04:00:00,29.41,51.64
2025-04-06 05:00:00,35.82,60.37
2025-04-06 06:00:00,42.31,67.33
2025-04-06 07:00:00,41.14,67.40
2025-04-06 08:00:00,23.52,51.18
2025-04-06 09:00:00,4.59,28.32
2025-04-06 10:00:00,NA,14.43
2025-04-06 11:00:00,NA,10.64
2025-04-06 12:00:00,NA,15.01
2025-04-06 13:00:00,0.53,17.12
2025-04-06 14:00:00,2.03,14.80
2025-04-06 15:00:00,0.01,12.37
2025-04-06 16:00:00,0.85,13.91
2025-04-06 17:00:00,7.30,19.86
2025-04-06 18:00:00,18.57,27.24
2025-04-06 19:00:00,27.98,34.80
2025-04-06 20:00:00,27.15,30.97
2025-04-06 21:00:00,18.26,19.91
2025-04-06 22:00:00,12.56,15.93
2025-04-06 23:00:00,12.30,14.52
2025-04-07 00:00:00,4.06,10.46
2025-04-07 01:00:00,3.60,13.38
2025-04-07 02:00:00,6.28,17.07
2025-04-07 03:00:00,11.24,21.85
2025-04-07 04:00:00,60.41,71.71
2025-04-07 05:00:00,102.59,116.00
2025-04-07 06:00:00,112.78,129.03
2025-04-07 07:00:00,89.21,114.24
2025-04-07 08:00:00,38.96,68.21
2025-04-07 09:00:00,1.52,17.68
2025-04-07 10:00:00,6.33,NA
2025-04-07 11:00:00,14.88,NA
2025-04-07 12:00:00,12.24,NA
2025-04-07 13:00:00,12.59,NA
2025-04-07 14:00:00,9.23,10.18
2025-04-07 15:00:00,5.70,17.00
2025-04-07 16:00:00,4.31,24.76
2025-04-07 17:00:00,8.41,30.55
2025-04-07 18:00:00,14.29,31.65
2025-04-07 19:00:00,15.25,31.86
2025-04-07 20:00:00,17.26,29.53
2025-04-07 21:00:00,15.52,25.98
2025-04-07 22:00:00,11.49,22.73
2025-04-07 23:00:00,8.53,17.00
2025-04-08 00:00:00,10.05,13.18
2025-04-08 01:00:00,11.29,12.05
2025-04-08 02:00:00,13.87,16.32
2025-04-08 03:00:00,21.28,32.50
2025-04-08 04:00:00,34.73,53.28
2025-04-08 05:00:00,74.76,97.85
2025-04-08 06:00:00,99.90,125.72
2025-04-08 07:00:00,72.62,105.84
2025-04-08 08:00:00,30.10,62.83
2025-04-08 09:00:00,1.10,17.91
2025-04-08 10:00:00,3.85,NA
2025-04-08 11:00:00,11.94,13.52
2025-04-08 12:00:00,14.70,22.74
2025-04-08 13:00:00,15.31,27.26
2025-04-08 14:00:00,13.63,28.98
2025-04-08 15:00:00,12.17,21.84
2025-04-08 16:00:00,12.20,20.93
2025-04-08 17:00:00,13.92,32.80
2025-04-08 18:00:00,15.44,41.85
2025-04-08 19:00:00,17.39,48.34
2025-04-08 20:00:00,17.11,46.90
2025-04-08 21:00:00,16.95,45.82
2025-04-08 22:00:00,14.79,44.73
2025-04-08 23:00:00,17.89,42.55
2025-04-09 00:00:00,22.65,41.58
2025-04-09 01:00:00,21.25,37.66
2025-04-09 02:00:00,18.45,38.36
2025-04-09 03:00:00,24.63,45.18
2025-04-09 04:00:00,33.04,53.76
2025-04-09 05:00:00,31.78,52.32
2025-04-09 06:00:00,28.87,49.24
2025-04-09 07:00:00,23.36,44.14
2025-04-09 08:00:00,13.51,35.20
2025-04-09 09:00:00,5.25,25.03
2025-04-09 10:00:00,0.30,20.05
2025-04-09 11:00:00,NA,24.33
2025-04-09 12:00:00,0.05,33.36
2025-04-09 13:00:00,NA,45.64
2025-04-09 14:00:00,1.46,59.94
2025-04-09 15:00:00,7.24,66.15
2025-04-09 16:00:00,12.38,65.25
2025-04-09 17:00:00,18.53,68.93
2025-04-09 18:00:00,21.85,62.52
2025-04-09 19:00:00,21.16,52.20
2025-04-09 20:00:00,16.33,41.69
2025-04-09 21:00:00,14.61,36.08
2025-04-09 22:00:00,8.42,28.99
2025-04-09 23:00:00,4.90,22.45
2025-04-10 00:00:00,6.15,21.24
2025-04-10 01:00:00,4.56,23.22
2025-04-10 02:00:00,6.80,31.68
2025-04-10 03:00:00,13.48,41.18
2025-04-10 04:00:00,17.22,46.00
2025-04-10 05:00:00,21.80,51.38
2025-04-10 06:00:00,24.06,53.56
2025-04-10 07:00:00,19.52,49.40
2025-04-10 08:00:00,12.32,37.36
2025-04-10 09:00:00,6.96,31.00
2025-04-10 10:00:00,7.91,31.46
2025-04-10 11:00:00,2.96,24.98
2025-04-10 12:00:00,0.10,19.09
2025-04-10 13:00:00,5.60,33.27
2025-04-10 14:00:00,12.51,39.62
2025-04-10 15:00:00,15.14,33.70
2025-04-10 16:00:00,19.78,34.06
2025-04-10 17:00:00,20.99,36.68
2025-04-10 18:00:00,26.47,43.52
2025-04-10 19:00:00,40.24,59.22
2025-04-10 20:00:00,54.56,70.76
2025-04-10 21:00:00,55.05,74.15
2025-04-10 22:00:00,60.27,80.12
2025-04-10 23:00:00,62.00,79.38
2025-04-11 00:00:00,52.10,68.04
2025-04-11 01:00:00,47.59,66.42
2025-04-11 02:00:00,44.24,67.80
2025-04-11 03:00:00,41.33,65.09
2025-04-11 04:00:00,22.60,46.47
2025-04-11 05:00:00,17.82,32.42
2025-04-11 06:00:00,20.84,64.64
2025-04-11 07:00:00,32.72,78.58
2025-04-11 08:00:00,27.93,61.96
2025-04-11 09:00:00,15.53,47.80
2025-04-11 10:00:00,0.85,30.52
2025-04-11 11:00:00,0.42,22.94
2025-04-11 12:00:00,7.68,26.73
2025-04-11 13:00:00,15.12,26.28
2025-04-11 14:00:00,18.48,26.80
2025-04-11 15:00:00,22.31,29.14
2025-04-11 16:00:00,22.49,28.71
2025-04-11 17:00:00,1.44,2.40
2025-04-11 18:00:00,10.15,16.61
2025-04-11 19:00:00,21.29,39.05
2025-04-11 20:00:00,28.08,51.56
2025-04-11 21:00:00,27.95,54.76
2025-04-11 22:00:00,30.46,54.00
2025-04-11 23:00:00,35.25,54.99
2025-04-12 00:00:00,44.52,64.32
2025-04-12 01:00:00,47.00,67.72
2025-04-12 02:00:00,43.78,66.80
2025-04-12 03:00:00,37.12,60.94
2025-04-12 04:00:00,37.89,56.82
2025-04-12 05:00:00,30.82,48.35
2025-04-12 06:00:00,23.69,42.20
2025-04-12 07:00:00,22.49,48.49
2025-04-12 08:00:00,18.34,52.13
2025-04-12 09:00:00,12.17,49.95
2025-04-12 10:00:00,9.75,47.28
2025-04-12 11:00:00,11.38,45.19
2025-04-12 12:00:00,15.01,44.28
2025-04-12 13:00:00,NA,NA
2025-04-12 14:00:00,NA,NA
2025-04-12 15:00:00,NA,NA
2025-04-12 16:00:00,29.23,63.98
2025-04-12 17:00:00,35.43,63.23
2025-04-12 18:00:00,40.79,59.93
2025-04-12 19:00:00,43.34,60.53
2025-04-12 20:00:00,48.70,67.54
2025-04-12 21:00:00,57.20,74.93
2025-04-12 22:00:00,53.99,69.79
2025-04-12 23:00:00,36.01,60.31
2025-04-13 00:00:00,54.96,65.86
2025-04-13 01:00:00,58.68,65.06
2025-04-13 02:00:00,49.71,61.15
2025-04-13 03:00:00,39.38,52.40
2025-04-13 04:00:00,35.98,47.14
2025-04-13 05:00:00,34.54,44.34
2025-04-13 06:00:00,31.87,44.36
2025-04-13 07:00:00,29.33,50.36
2025-04-13 08:00:00,14.40,48.89
2025-04-13 09:00:00,1.48,41.45
2025-04-13 10:00:00,0.41,40.19
2025-04-13 11:00:00,6.46,49.83
2025-04-13 12:00:00,19.13,59.82
2025-04-13 13:00:00,13.46,48.26
2025-04-13 14:00:00,17.14,42.58
2025-04-13 15:00:00,18.52,38.32
2025-04-13 16:00:00,27.57,43.26
2025-04-13 17:00:00,45.87,50.45
2025-04-13 18:00:00,NA,NA
2025-04-13 19:00:00,NA,NA
2025-04-13 20:00:00,49.00,50.70
2025-04-13 21:00:00,38.20,47.31
2025-04-13 22:00:00,24.96,44.05
2025-04-13 23:00:00,32.57,49.83
2025-04-14 00:00:00,47.91,59.58
2025-04-14 01:00:00,50.22,68.67
2025-04-14 02:00:00,36.80,70.89
2025-04-14 03:00:00,32.08,70.72
2025-04-14 04:00:00,44.19,76.85
2025-04-14 05:00:00,63.82,91.10
2025-04-14 06:00:00,78.47,104.95
2025-04-14 07:00:00,101.04,132.08
2025-04-14 08:00:00,73.30,112.90
2025-04-14 09:00:00,23.24,52.73
2025-04-14 10:00:00,NA,7.63
2025-04-14 11:00:00,NA,NA
2025-04-14 12:00:00,NA,NA
2025-04-14 13:00:00,NA,0.36
2025-04-14 14:00:00,NA,3.34
2025-04-14 15:00:00,1.55,8.03
2025-04-14 16:00:00,9.65,15.00
2025-04-14 17:00:00,16.68,21.20
2025-04-14 18:00:00,21.11,24.42
2025-04-14 19:00:00,28.00,29.83
2025-04-14 20:00:00,27.32,29.93
2025-04-14 21:00:00,21.24,24.61
2025-04-14 22:00:00,18.27,20.54
2025-04-14 23:00:00,19.69,22.56
2025-04-15 00:00:00,21.97,27.56
2025-04-15 01:00:00,20.34,28.84
2025-04-15 02:00:00,19.84,29.56
2025-04-15 03:00:00,18.98,26.64
2025-04-15 04:00:00,16.90,23.70
