Timestamp,PM2.5 (µg/m³),PM10 (µg/m³)
2025-04-01 00:00:00,47.25,91.25
2025-04-01 01:00:00,45.00,82.75
2025-04-01 02:00:00,45.00,81.75
2025-04-01 03:00:00,44.75,82.75
2025-04-01 04:00:00,44.75,92.25
2025-04-01 05:00:00,50.25,117.25
2025-04-01 06:00:00,62.75,169.50
2025-04-01 07:00:00,72.50,214.50
2025-04-01 08:00:00,72.75,194.75
2025-04-01 09:00:00,56.75,148.00
2025-04-01 10:00:00,46.00,139.50
2025-04-01 11:00:00,43.25,120.50
2025-04-01 12:00:00,42.25,112.50
2025-04-01 13:00:00,38.75,109.50
2025-04-01 14:00:00,42.75,106.25
2025-04-01 15:00:00,40.00,112.00
2025-04-01 16:00:00,41.50,114.50
2025-04-01 17:00:00,36.75,105.25
2025-04-01 18:00:00,37.75,106.75
2025-04-01 19:00:00,43.00,102.50
2025-04-01 20:00:00,40.75,108.75
2025-04-01 21:00:00,32.75,101.25
2025-04-01 22:00:00,29.75,87.50
2025-04-01 23:00:00,31.75,76.50
2025-04-02 00:00:00,31.00,65.25
2025-04-02 01:00:00,31.25,61.25
2025-04-02 02:00:00,30.75,54.25
2025-04-02 03:00:00,27.00,51.75
2025-04-02 04:00:00,26.75,61.25
2025-04-02 05:00:00,27.25,69.25
2025-04-02 06:00:00,34.00,89.50
2025-04-02 07:00:00,45.75,117.75
2025-04-02 08:00:00,53.00,134.00
2025-04-02 09:00:00,47.00,127.50
2025-04-02 10:00:00,35.25,112.75
2025-04-02 11:00:00,26.00,94.00
2025-04-02 12:00:00,22.25,77.00
2025-04-02 13:00:00,20.00,78.25
2025-04-02 14:00:00,20.00,71.25
2025-04-02 15:00:00,20.00,67.25
2025-04-02 16:00:00,20.50,70.75
2025-04-02 17:00:00,21.00,72.50
2025-04-02 18:00:00,20.25,80.50
2025-04-02 19:00:00,26.50,83.50
2025-04-02 20:00:00,23.25,84.25
2025-04-02 21:00:00,19.25,71.00
2025-04-02 22:00:00,22.50,63.25
2025-04-02 23:00:00,21.50,56.00
2025-04-03 00:00:00,21.50,50.00
2025-04-03 01:00:00,18.00,48.75
2025-04-03 02:00:00,21.00,43.75
2025-04-03 03:00:00,21.25,40.25
2025-04-03 04:00:00,20.50,40.75
2025-04-03 05:00:00,15.75,40.00
2025-04-03 06:00:00,15.00,41.00
2025-04-03 07:00:00,16.25,40.25
2025-04-03 08:00:00,17.50,26.50
2025-04-03 09:00:00,10.25,20.25
2025-04-03 10:00:00,11.25,25.50
2025-04-03 11:00:00,15.25,33.75
2025-04-03 12:00:00,24.00,43.75
2025-04-03 13:00:00,18.50,39.75
2025-04-03 14:00:00,11.00,39.25
2025-04-03 15:00:00,11.25,41.75
2025-04-03 16:00:00,13.00,45.50
2025-04-03 17:00:00,15.00,44.25
2025-04-03 18:00:00,13.00,55.50
2025-04-03 19:00:00,16.25,58.75
2025-04-03 20:00:00,16.25,55.50
2025-04-03 21:00:00,14.25,54.75
2025-04-03 22:00:00,15.50,47.50
2025-04-03 23:00:00,16.75,45.25
2025-04-04 00:00:00,15.75,49.00
2025-04-04 01:00:00,16.50,67.75
2025-04-04 02:00:00,19.25,68.00
2025-04-04 03:00:00,16.00,60.75
2025-04-04 04:00:00,21.75,55.00
2025-04-04 05:00:00,20.75,48.00
2025-04-04 06:00:00,22.25,50.75
2025-04-04 07:00:00,30.00,67.50
2025-04-04 08:00:00,30.50,61.50
2025-04-04 09:00:00,21.50,49.75
2025-04-04 10:00:00,20.50,63.75
2025-04-04 11:00:00,35.50,94.50
2025-04-04 12:00:00,42.25,97.25
2025-04-04 13:00:00,23.25,63.00
2025-04-04 14:00:00,27.00,55.50
2025-04-04 15:00:00,26.00,54.00
2025-04-04 16:00:00,23.00,61.00
2025-04-04 17:00:00,21.25,52.75
2025-04-04 18:00:00,16.50,50.75
2025-04-04 19:00:00,19.75,63.00
2025-04-04 20:00:00,22.75,54.50
2025-04-04 21:00:00,14.75,49.00
2025-04-04 22:00:00,13.25,52.50
2025-04-04 23:00:00,18.75,44.00
2025-04-05 00:00:00,15.50,39.00
2025-04-05 01:00:00,18.50,36.50
2025-04-05 02:00:00,21.25,48.25
2025-04-05 03:00:00,19.75,82.25
2025-04-05 04:00:00,29.50,153.25
2025-04-05 05:00:00,24.50,90.75
2025-04-05 06:00:00,24.25,82.25
2025-04-05 07:00:00,28.25,85.00
2025-04-05 08:00:00,26.75,77.25
2025-04-05 09:00:00,20.25,60.75
2025-04-05 10:00:00,21.25,60.50
2025-04-05 11:00:00,19.25,74.75
2025-04-05 12:00:00,12.25,55.25
2025-04-05 13:00:00,14.75,41.75
2025-04-05 14:00:00,10.50,35.25
2025-04-05 15:00:00,9.75,36.25
2025-04-05 16:00:00,11.50,41.25
2025-04-05 17:00:00,10.00,52.25
2025-04-05 18:00:00,11.50,49.75
