Timestamp,PM2.5 (µg/m³),PM10 (µg/m³)
2025-04-01 00:00:00,49.25,59.50
2025-04-01 01:00:00,50.00,57.75
2025-04-01 02:00:00,48.25,57.25
2025-04-01 03:00:00,42.33,57.00
2025-04-01 04:00:00,41.00,56.00
2025-04-01 05:00:00,40.25,65.25
2025-04-01 06:00:00,51.00,105.00
2025-04-01 07:00:00,90.75,189.75
2025-04-01 08:00:00,77.50,147.25
2025-04-01 09:00:00,32.67,69.33
2025-04-01 10:00:00,36.75,71.50
2025-04-01 11:00:00,41.50,62.00
2025-04-01 12:00:00,48.75,58.00
2025-04-01 13:00:00,45.00,62.50
2025-04-01 14:00:00,36.67,59.33
2025-04-01 15:00:00,38.67,60.50
2025-04-01 16:00:00,38.75,57.00
2025-04-01 17:00:00,33.75,60.00
2025-04-01 18:00:00,29.75,58.50
2025-04-01 19:00:00,29.25,52.25
2025-04-01 20:00:00,29.75,51.00
2025-04-01 21:00:00,28.25,58.75
2025-04-01 22:00:00,24.50,46.00
2025-04-01 23:00:00,23.00,45.75
2025-04-02 00:00:00,27.25,44.25
2025-04-02 01:00:00,21.67,42.00
2025-04-02 02:00:00,21.50,41.50
2025-04-02 03:00:00,22.25,40.75
2025-04-02 04:00:00,20.75,42.75
2025-04-02 05:00:00,21.50,42.50
2025-04-02 06:00:00,17.00,45.25
2025-04-02 07:00:00,30.00,73.25
2025-04-02 08:00:00,66.75,135.25
2025-04-02 09:00:00,50.25,92.75
2025-04-02 10:00:00,21.25,59.75
2025-04-02 11:00:00,22.75,52.00
2025-04-02 12:00:00,23.25,44.75
2025-04-02 13:00:00,17.00,32.75
2025-04-02 14:00:00,15.25,34.50
2025-04-02 15:00:00,18.00,33.75
2025-04-02 16:00:00,13.25,36.25
2025-04-02 17:00:00,8.00,37.50
2025-04-02 18:00:00,NA,36.75
2025-04-02 19:00:00,15.00,31.25
2025-04-02 20:00:00,14.25,35.00
2025-04-02 21:00:00,11.50,33.50
2025-04-02 22:00:00,11.25,30.00
2025-04-02 23:00:00,16.25,32.50
2025-04-03 00:00:00,20.50,30.75
2025-04-03 01:00:00,20.25,29.25
2025-04-03 02:00:00,16.50,27.00
2025-04-03 03:00:00,21.00,29.25
2025-04-03 04:00:00,NA,35.50
2025-04-03 05:00:00,NA,33.00
2025-04-03 06:00:00,NA,30.00
2025-04-03 07:00:00,NA,28.50
2025-04-03 08:00:00,16.50,28.50
2025-04-03 09:00:00,17.75,39.25
2025-04-03 10:00:00,15.00,33.25
2025-04-03 11:00:00,19.00,42.00
2025-04-03 12:00:00,25.25,55.25
2025-04-03 13:00:00,36.25,80.25
2025-04-03 14:00:00,40.00,90.00
2025-04-03 15:00:00,60.00,NA
2025-04-03 16:00:00,14.50,54.75
2025-04-03 17:00:00,11.25,43.00
2025-04-03 18:00:00,15.00,55.50
2025-04-03 19:00:00,NA,60.00
2025-04-03 20:00:00,NA,58.25
2025-04-03 21:00:00,1.00,27.75
2025-04-03 22:00:00,3.50,38.25
2025-04-03 23:00:00,13.25,52.75
2025-04-04 00:00:00,20.00,48.25
2025-04-04 01:00:00,19.75,44.00
2025-04-04 02:00:00,19.50,37.50
2025-04-04 03:00:00,23.00,37.50
2025-04-04 04:00:00,26.00,39.75
2025-04-04 05:00:00,18.25,35.75
2025-04-04 06:00:00,26.25,59.50
2025-04-04 07:00:00,40.75,106.75
2025-04-04 08:00:00,43.25,102.75
2025-04-04 09:00:00,35.00,84.00
2025-04-04 10:00:00,NA,68.00
2025-04-04 11:00:00,19.00,62.75
2025-04-04 12:00:00,19.50,43.25
2025-04-04 13:00:00,18.25,30.75
2025-04-04 14:00:00,13.75,29.00
2025-04-04 15:00:00,33.50,43.75
2025-04-04 16:00:00,45.67,54.00
2025-04-04 17:00:00,17.67,22.00
2025-04-04 18:00:00,14.25,20.75
2025-04-04 19:00:00,12.00,17.00
2025-04-04 20:00:00,11.50,16.00
2025-04-04 21:00:00,9.00,12.25
2025-04-04 22:00:00,5.00,12.00
2025-04-04 23:00:00,3.00,15.75
2025-04-05 00:00:00,8.25,12.25
2025-04-05 01:00:00,14.25,21.50
2025-04-05 02:00:00,11.50,21.00
2025-04-05 03:00:00,10.25,22.75
2025-04-05 04:00:00,10.25,18.50
2025-04-05 05:00:00,8.25,20.75
2025-04-05 06:00:00,16.25,39.00
2025-04-05 07:00:00,38.75,61.50
2025-04-05 08:00:00,38.25,65.25
2025-04-05 09:00:00,27.75,57.50
2025-04-05 10:00:00,21.00,41.00
2025-04-05 11:00:00,NA,NA
2025-04-05 12:00:00,13.00,20.00
2025-04-05 13:00:00,12.50,19.50
2025-04-05 14:00:00,10.25,17.00
2025-04-05 15:00:00,7.50,14.75
2025-04-05 16:00:00,6.00,16.00
2025-04-05 17:00:00,7.50,13.75
2025-04-05 18:00:00,12.50,16.50
2025-04-05 19:00:00,14.00,18.75
2025-04-05 20:00:00,14.00,21.00
2025-04-05 21:00:00,NA,NA
2025-04-05 22:00:00,3.00,11.00
2025-04-05 23:00:00,3.75,11.00
2025-04-06 00:00:00,6.00,11.00
2025-04-06 01:00:00,13.00,18.00
2025-04-06 02:00:00,12.00,18.75
2025-04-06 03:00:00,10.75,23.00
2025-04-06 04:00:00,17.75,30.75
2025-04-06 05:00:00,23.50,41.25
2025-04-06 06:00:00,29.75,67.75
2025-04-06 07:00:00,42.75,93.50
2025-04-06 08:00:00,33.75,66.50
2025-04-06 09:00:00,19.00,42.50
2025-04-06 10:00:00,20.00,33.33
2025-04-06 11:00:00,15.50,24.25
2025-04-06 12:00:00,13.00,23.25
2025-04-06 13:00:00,11.00,19.75
2025-04-06 14:00:00,14.50,23.00
2025-04-06 15:00:00,16.00,17.00
2025-04-06 16:00:00,6.00,9.00
2025-04-06 17:00:00,6.00,9.00
2025-04-06 18:00:00,NA,NA
2025-04-06 19:00:00,NA,NA
2025-04-06 20:00:00,6.00,10.00
2025-04-06 21:00:00,6.75,10.75
2025-04-06 22:00:00,8.75,12.75
2025-04-06 23:00:00,7.75,11.75
2025-04-07 00:00:00,6.25,9.75
2025-04-07 01:00:00,4.50,8.75
2025-04-07 02:00:00,5.75,15.50
2025-04-07 03:00:00,5.00,10.50
2025-04-07 04:00:00,5.00,10.50
2025-04-07 05:00:00,10.50,21.50
2025-04-07 06:00:00,28.25,43.75
2025-04-07 07:00:00,32.25,55.50
2025-04-07 08:00:00,31.00,61.75
2025-04-07 09:00:00,19.00,41.00
2025-04-07 10:00:00,1.75,16.50
2025-04-07 11:00:00,4.00,14.50
2025-04-07 12:00:00,6.50,13.75
2025-04-07 13:00:00,14.00,16.75
2025-04-07 14:00:00,16.50,21.00
2025-04-07 15:00:00,24.00,27.00
2025-04-07 16:00:00,5.00,17.00
2025-04-07 17:00:00,4.00,16.50
2025-04-07 18:00:00,2.25,13.25
2025-04-07 19:00:00,6.00,8.75
2025-04-07 20:00:00,6.00,11.00
2025-04-07 21:00:00,NA,NA
2025-04-07 22:00:00,5.00,9.00
2025-04-07 23:00:00,4.00,9.00
2025-04-08 00:00:00,1.75,9.50
2025-04-08 01:00:00,4.50,10.50
2025-04-08 02:00:00,6.00,16.50
2025-04-08 03:00:00,5.75,45.25
2025-04-08 04:00:00,9.25,60.00
2025-04-08 05:00:00,31.00,63.50
2025-04-08 06:00:00,61.50,121.75
2025-04-08 07:00:00,63.50,135.25
2025-04-08 08:00:00,34.75,63.25
2025-04-08 09:00:00,21.50,39.25
2025-04-08 10:00:00,10.00,25.00
2025-04-08 11:00:00,7.00,16.00
2025-04-08 12:00:00,8.00,16.00
2025-04-08 13:00:00,7.50,14.75
2025-04-08 14:00:00,6.00,11.00
2025-04-08 15:00:00,NA,NA
2025-04-08 16:00:00,16.00,21.00
2025-04-08 17:00:00,13.50,19.75
2025-04-08 18:00:00,5.50,16.25
2025-04-08 19:00:00,4.75,16.25
2025-04-08 20:00:00,8.00,14.00
2025-04-08 21:00:00,10.50,15.75
2025-04-08 22:00:00,11.00,21.75
2025-04-08 23:00:00,9.75,25.75
2025-04-09 00:00:00,15.50,29.00
2025-04-09 01:00:00,18.75,27.75
2025-04-09 02:00:00,23.00,43.25
2025-04-09 03:00:00,20.00,48.00
2025-04-09 04:00:00,20.00,49.00
2025-04-09 05:00:00,20.00,43.67
2025-04-09 06:00:00,24.75,58.00
2025-04-09 07:00:00,41.25,96.25
2025-04-09 08:00:00,42.75,87.50
2025-04-09 09:00:00,22.00,62.75
2025-04-09 10:00:00,6.50,42.25
2025-04-09 11:00:00,4.75,27.50
2025-04-09 12:00:00,4.00,23.25
2025-04-09 13:00:00,NA,15.75
2025-04-09 14:00:00,5.00,16.00
2025-04-09 15:00:00,4.00,13.50
2025-04-09 16:00:00,3.00,24.00
2025-04-09 17:00:00,6.67,24.00
2025-04-09 18:00:00,5.75,23.25
2025-04-09 19:00:00,5.00,20.75
2025-04-09 20:00:00,5.00,20.00
2025-04-09 21:00:00,7.00,8.00
2025-04-09 22:00:00,7.00,8.75
2025-04-09 23:00:00,NA,11.00
2025-04-10 00:00:00,2.00,13.25
2025-04-10 01:00:00,3.50,21.75
2025-04-10 02:00:00,9.50,29.50
2025-04-10 03:00:00,16.25,42.25
2025-04-10 04:00:00,24.00,56.75
2025-04-10 05:00:00,24.50,48.25
2025-04-10 06:00:00,14.75,36.75
2025-04-10 07:00:00,12.75,46.25
2025-04-10 08:00:00,24.75,50.75
2025-04-10 09:00:00,20.50,60.00
2025-04-10 10:00:00,30.50,83.50
2025-04-10 11:00:00,36.00,85.50
2025-04-10 12:00:00,27.75,64.00
2025-04-10 13:00:00,19.75,46.00
2025-04-10 14:00:00,18.25,40.75
2025-04-10 15:00:00,26.00,51.50
2025-04-10 16:00:00,27.75,50.50
2025-04-10 17:00:00,27.00,53.25
2025-04-10 18:00:00,38.50,66.50
2025-04-10 19:00:00,47.75,92.00
2025-04-10 20:00:00,54.75,82.25
2025-04-10 21:00:00,59.50,80.25
2025-04-10 22:00:00,55.50,77.00
2025-04-10 23:00:00,44.25,61.50
2025-04-11 00:00:00,31.00,54.00
2025-04-11 01:00:00,28.25,60.50
2025-04-11 02:00:00,36.75,53.50
2025-04-11 03:00:00,35.00,56.50
2025-04-11 04:00:00,44.00,64.75
2025-04-11 05:00:00,48.75,70.25
2025-04-11 06:00:00,38.75,58.25
2025-04-11 07:00:00,39.00,62.75
2025-04-11 08:00:00,14.25,29.00
2025-04-11 09:00:00,14.00,33.75
2025-04-11 10:00:00,19.25,45.25
2025-04-11 11:00:00,18.75,39.75
2025-04-11 12:00:00,26.25,47.00
2025-04-11 13:00:00,33.00,44.00
2025-04-11 14:00:00,34.00,50.00
2025-04-11 15:00:00,35.75,52.25
2025-04-11 16:00:00,41.00,59.00
2025-04-11 17:00:00,22.00,52.00
2025-04-11 18:00:00,23.25,54.50
2025-04-11 19:00:00,26.33,61.00
2025-04-11 20:00:00,25.33,57.00
2025-04-11 21:00:00,28.50,54.50
2025-04-11 22:00:00,39.75,69.00
2025-04-11 23:00:00,48.75,75.00
2025-04-12 00:00:00,40.25,57.00
2025-04-12 01:00:00,38.75,61.50
2025-04-12 02:00:00,51.75,74.25
2025-04-12 03:00:00,56.00,72.25
2025-04-12 04:00:00,51.75,71.25
2025-04-12 05:00:00,45.25,64.25
2025-04-12 06:00:00,39.50,62.50
2025-04-12 07:00:00,45.50,74.00
