Timestamp,PM2.5 (µg/m³),PM10 (µg/m³)
2025-04-01 00:00:00,26.00,64.00
2025-04-01 01:00:00,25.50,62.75
2025-04-01 02:00:00,23.75,58.75
2025-04-01 03:00:00,22.75,57.50
2025-04-01 04:00:00,22.25,56.25
2025-04-01 05:00:00,25.75,64.25
2025-04-01 06:00:00,36.25,91.25
2025-04-01 07:00:00,45.00,112.25
2025-04-01 08:00:00,46.25,116.00
2025-04-01 09:00:00,30.75,76.75
2025-04-01 10:00:00,27.25,67.50
2025-04-01 11:00:00,27.75,68.75
2025-04-01 12:00:00,28.00,70.50
2025-04-01 13:00:00,29.75,75.00
2025-04-01 14:00:00,26.00,65.50
2025-04-01 15:00:00,26.25,64.75
2025-04-01 16:00:00,27.00,67.25
2025-04-01 17:00:00,27.00,67.75
2025-04-01 18:00:00,27.00,67.25
2025-04-01 19:00:00,26.25,65.75
2025-04-01 20:00:00,23.25,57.50
2025-04-01 21:00:00,20.75,52.25
2025-04-01 22:00:00,20.00,50.25
2025-04-01 23:00:00,19.25,48.75
2025-04-02 00:00:00,16.50,41.00
2025-04-02 01:00:00,15.25,38.50
2025-04-02 02:00:00,15.50,38.50
2025-04-02 03:00:00,14.50,35.50
2025-04-02 04:00:00,16.50,41.00
2025-04-02 05:00:00,18.00,44.25
2025-04-02 06:00:00,21.00,52.25
2025-04-02 07:00:00,36.50,90.25
2025-04-02 08:00:00,51.00,126.50
2025-04-02 09:00:00,32.25,79.75
2025-04-02 10:00:00,20.75,51.50
2025-04-02 11:00:00,21.00,52.75
2025-04-02 12:00:00,22.50,57.00
2025-04-02 13:00:00,18.00,44.75
2025-04-02 14:00:00,18.00,44.00
2025-04-02 15:00:00,18.00,44.00
2025-04-02 16:00:00,17.50,43.25
2025-04-02 17:00:00,16.00,40.75
2025-04-02 18:00:00,16.00,39.75
2025-04-02 19:00:00,16.00,39.25
2025-04-02 20:00:00,15.50,38.50
2025-04-02 21:00:00,14.25,35.00
2025-04-02 22:00:00,14.75,37.25
2025-04-02 23:00:00,13.50,34.00
2025-04-03 00:00:00,11.50,29.50
2025-04-03 01:00:00,10.00,25.00
2025-04-03 02:00:00,10.50,26.00
2025-04-03 03:00:00,11.50,28.00
2025-04-03 04:00:00,9.25,23.25
2025-04-03 05:00:00,7.75,19.75
2025-04-03 06:00:00,10.00,25.00
2025-04-03 07:00:00,9.75,24.25
2025-04-03 08:00:00,10.75,26.25
2025-04-03 09:00:00,15.50,38.00
2025-04-03 10:00:00,14.00,35.25
2025-04-03 11:00:00,18.25,46.50
2025-04-03 12:00:00,28.50,71.50
2025-04-03 13:00:00,20.00,49.67
2025-04-03 14:00:00,16.50,41.50
2025-04-03 15:00:00,11.25,29.00
2025-04-03 16:00:00,8.50,21.75
2025-04-03 17:00:00,8.75,22.25
2025-04-03 18:00:00,13.50,33.50
2025-04-03 19:00:00,11.75,28.50
2025-04-03 20:00:00,11.25,27.50
2025-04-03 21:00:00,13.00,31.50
2025-04-03 22:00:00,15.00,36.50
2025-04-03 23:00:00,12.50,30.50
2025-04-04 00:00:00,12.50,31.25
2025-04-04 01:00:00,9.00,22.25
2025-04-04 02:00:00,12.75,31.25
2025-04-04 03:00:00,14.25,36.00
2025-04-04 04:00:00,12.00,29.75
2025-04-04 05:00:00,13.00,31.75
2025-04-04 06:00:00,18.00,44.75
2025-04-04 07:00:00,23.75,58.75
2025-04-04 08:00:00,21.75,54.50
2025-04-04 09:00:00,18.00,44.50
2025-04-04 10:00:00,19.75,50.25
2025-04-04 11:00:00,27.25,68.25
2025-04-04 12:00:00,32.00,79.00
2025-04-04 13:00:00,22.00,54.67
2025-04-04 14:00:00,15.25,38.75
2025-04-04 15:00:00,21.25,52.75
2025-04-04 16:00:00,24.50,61.00
2025-04-04 17:00:00,13.00,31.50
2025-04-04 18:00:00,10.00,24.00
2025-04-04 19:00:00,13.00,33.00
2025-04-04 20:00:00,12.50,31.50
2025-04-04 21:00:00,10.00,24.50
2025-04-04 22:00:00,8.00,19.75
2025-04-04 23:00:00,10.50,26.75
2025-04-05 00:00:00,9.00,23.00
2025-04-05 01:00:00,9.50,24.00
2025-04-05 02:00:00,10.00,24.75
2025-04-05 03:00:00,6.50,16.75
2025-04-05 04:00:00,5.75,14.50
2025-04-05 05:00:00,12.00,29.50
2025-04-05 06:00:00,24.50,61.75
2025-04-05 07:00:00,27.50,68.00
2025-04-05 08:00:00,30.25,75.75
2025-04-05 09:00:00,23.75,60.00
2025-04-05 10:00:00,20.75,52.75
2025-04-05 11:00:00,21.75,55.00
2025-04-05 12:00:00,16.25,41.25
2025-04-05 13:00:00,10.50,26.00
2025-04-05 14:00:00,10.00,25.00
2025-04-05 15:00:00,11.25,27.50
2025-04-05 16:00:00,11.00,26.50
2025-04-05 17:00:00,8.75,21.00
2025-04-05 18:00:00,11.25,28.00
2025-04-05 19:00:00,11.50,29.50
2025-04-05 20:00:00,9.75,24.50
2025-04-05 21:00:00,9.50,24.25
2025-04-05 22:00:00,11.25,28.50
2025-04-05 23:00:00,11.00,27.25
2025-04-06 00:00:00,7.75,18.50
2025-04-06 01:00:00,6.75,16.25
2025-04-06 02:00:00,6.25,14.75
2025-04-06 03:00:00,8.25,20.25
2025-04-06 04:00:00,12.75,32.00
2025-04-06 05:00:00,16.00,40.50
2025-04-06 06:00:00,19.75,50.00
2025-04-06 07:00:00,22.75,57.75
2025-04-06 08:00:00,23.75,59.75
2025-04-06 09:00:00,19.50,49.00
2025-04-06 10:00:00,19.00,48.50
2025-04-06 11:00:00,20.75,52.50
2025-04-06 12:00:00,17.50,43.25
2025-04-06 13:00:00,18.25,45.50
2025-04-06 14:00:00,14.75,37.50
2025-04-06 15:00:00,10.00,24.50
2025-04-06 16:00:00,7.00,17.00
2025-04-06 17:00:00,6.75,16.75
2025-04-06 18:00:00,6.00,15.50
2025-04-06 19:00:00,5.75,13.75
2025-04-06 20:00:00,5.25,13.75
2025-04-06 21:00:00,5.50,14.25
2025-04-06 22:00:00,4.00,9.50
2025-04-06 23:00:00,3.75,10.25
2025-04-07 00:00:00,3.25,8.75
2025-04-07 01:00:00,3.50,9.75
2025-04-07 02:00:00,2.00,5.75
2025-04-07 03:00:00,1.75,4.50
2025-04-07 04:00:00,3.75,9.50
2025-04-07 05:00:00,12.00,29.50
2025-04-07 06:00:00,13.50,34.75
2025-04-07 07:00:00,18.00,45.50
2025-04-07 08:00:00,17.00,41.75
2025-04-07 09:00:00,15.25,38.00
2025-04-07 10:00:00,18.75,46.75
2025-04-07 11:00:00,17.00,43.50
2025-04-07 12:00:00,13.50,34.75
2025-04-07 13:00:00,12.00,30.75
2025-04-07 14:00:00,11.50,28.75
2025-04-07 15:00:00,10.25,25.75
2025-04-07 16:00:00,10.75,27.00
2025-04-07 17:00:00,10.50,25.50
2025-04-07 18:00:00,11.00,27.25
2025-04-07 19:00:00,7.75,18.50
2025-04-07 20:00:00,6.25,15.50
2025-04-07 21:00:00,4.50,12.25
2025-04-07 22:00:00,5.50,14.25
2025-04-07 23:00:00,4.25,10.00
2025-04-08 00:00:00,6.25,16.00
2025-04-08 01:00:00,9.75,24.25
2025-04-08 02:00:00,12.25,30.25
2025-04-08 03:00:00,21.75,54.50
2025-04-08 04:00:00,20.25,50.75
2025-04-08 05:00:00,19.75,48.50
2025-04-08 06:00:00,25.75,63.75
2025-04-08 07:00:00,27.25,67.50
2025-04-08 08:00:00,25.00,63.00
2025-04-08 09:00:00,NA,NA
2025-04-08 10:00:00,NA,NA
2025-04-08 11:00:00,NA,NA
2025-04-08 12:00:00,NA,NA
2025-04-08 13:00:00,15.00,38.00
2025-04-08 14:00:00,16.00,40.50
2025-04-08 15:00:00,19.25,48.75
2025-04-08 16:00:00,22.00,55.50
2025-04-08 17:00:00,28.50,70.50
2025-04-08 18:00:00,28.25,70.50
2025-04-08 19:00:00,20.75,51.50
2025-04-08 20:00:00,13.50,33.50
2025-04-08 21:00:00,15.25,37.25
2025-04-08 22:00:00,25.00,62.00
2025-04-08 23:00:00,21.25,52.75
2025-04-09 00:00:00,10.00,25.00
2025-04-09 01:00:00,9.25,23.00
2025-04-09 02:00:00,7.50,18.50
2025-04-09 03:00:00,11.50,29.00
2025-04-09 04:00:00,17.50,43.50
2025-04-09 05:00:00,12.75,32.00
2025-04-09 06:00:00,13.00,31.75
2025-04-09 07:00:00,17.25,43.25
2025-04-09 08:00:00,21.00,52.75
2025-04-09 09:00:00,21.75,53.75
2025-04-09 10:00:00,26.25,65.00
2025-04-09 11:00:00,28.00,70.00
2025-04-09 12:00:00,19.25,47.50
2025-04-09 13:00:00,21.75,55.00
2025-04-09 14:00:00,18.50,47.00
2025-04-09 15:00:00,20.00,50.25
2025-04-09 16:00:00,20.75,52.50
2025-04-09 17:00:00,24.25,60.25
2025-04-09 18:00:00,27.75,69.25
2025-04-09 19:00:00,24.25,60.50
2025-04-09 20:00:00,15.00,38.25
2025-04-09 21:00:00,13.00,32.50
2025-04-09 22:00:00,15.00,37.25
2025-04-09 23:00:00,11.00,26.75
2025-04-10 00:00:00,7.25,18.00
2025-04-10 01:00:00,5.50,13.25
2025-04-10 02:00:00,7.75,19.00
2025-04-10 03:00:00,12.00,30.25
2025-04-10 04:00:00,18.50,47.00
2025-04-10 05:00:00,18.25,45.75
2025-04-10 06:00:00,14.25,36.00
2025-04-10 07:00:00,19.50,48.50
2025-04-10 08:00:00,25.75,63.75
2025-04-10 09:00:00,32.75,82.50
2025-04-10 10:00:00,37.25,94.00
2025-04-10 11:00:00,34.25,86.25
2025-04-10 12:00:00,33.00,83.00
2025-04-10 13:00:00,31.00,76.50
2025-04-10 14:00:00,25.50,62.75
2025-04-10 15:00:00,24.25,60.00
2025-04-10 16:00:00,25.25,63.25
2025-04-10 17:00:00,28.00,69.25
2025-04-10 18:00:00,34.00,84.75
2025-04-10 19:00:00,32.50,80.25
2025-04-10 20:00:00,28.25,70.00
2025-04-10 21:00:00,28.50,71.50
2025-04-10 22:00:00,26.75,66.25
2025-04-10 23:00:00,23.50,58.00
2025-04-11 00:00:00,16.00,40.00
2025-04-11 01:00:00,15.50,39.00
2025-04-11 02:00:00,14.25,36.50
2025-04-11 03:00:00,15.75,40.00
2025-04-11 04:00:00,18.50,47.00
2025-04-11 05:00:00,18.50,46.00
2025-04-11 06:00:00,15.00,36.75
2025-04-11 07:00:00,15.50,38.50
2025-04-11 08:00:00,8.00,19.00
2025-04-11 09:00:00,9.50,23.25
2025-04-11 10:00:00,15.75,40.25
2025-04-11 11:00:00,24.25,61.00
2025-04-11 12:00:00,31.00,77.50
2025-04-11 13:00:00,21.00,52.25
2025-04-11 14:00:00,18.00,44.33
2025-04-11 15:00:00,18.75,46.75
2025-04-11 16:00:00,22.50,55.75
2025-04-11 17:00:00,25.50,63.50
2025-04-11 18:00:00,20.50,51.75
2025-04-11 19:00:00,18.75,47.00
2025-04-11 20:00:00,18.75,46.25
2025-04-11 21:00:00,21.75,54.50
2025-04-11 22:00:00,23.75,58.50
2025-04-11 23:00:00,23.00,57.25
2025-04-12 00:00:00,22.75,57.25
2025-04-12 01:00:00,22.75,57.00
2025-04-12 02:00:00,25.00,63.00
2025-04-12 03:00:00,25.50,64.00
2025-04-12 04:00:00,25.25,63.00
2025-04-12 05:00:00,19.50,49.25
2025-04-12 06:00:00,20.00,49.00
2025-04-12 07:00:00,27.25,67.50
2025-04-12 08:00:00,30.75,77.25
2025-04-12 09:00:00,30.00,75.00
2025-04-12 10:00:00,31.75,79.25
2025-04-12 11:00:00,38.25,95.25
2025-04-12 12:00:00,39.25,98.00
2025-04-12 13:00:00,31.00,77.00
2025-04-12 14:00:00,30.33,75.33
2025-04-12 15:00:00,29.00,72.00
2025-04-12 16:00:00,29.25,72.75
2025-04-12 17:00:00,29.50,73.50
2025-04-12 18:00:00,30.25,74.75
2025-04-12 19:00:00,36.00,89.75
2025-04-12 20:00:00,33.25,83.25
2025-04-12 21:00:00,31.00,77.00
2025-04-12 22:00:00,22.25,56.25
2025-04-12 23:00:00,22.50,56.00
2025-04-13 00:00:00,18.75,47.50
2025-04-13 01:00:00,12.50,32.25
2025-04-13 02:00:00,14.00,35.50
2025-04-13 03:00:00,14.00,34.25
2025-04-13 04:00:00,14.00,35.00
2025-04-13 05:00:00,15.00,37.75
2025-04-13 06:00:00,18.75,47.75
2025-04-13 07:00:00,22.00,55.25
2025-04-13 08:00:00,24.50,60.75
2025-04-13 09:00:00,24.25,60.00
2025-04-13 10:00:00,28.00,69.25
2025-04-13 11:00:00,28.75,71.75
2025-04-13 12:00:00,28.50,71.00
2025-04-13 13:00:00,20.25,51.00
2025-04-13 14:00:00,17.50,43.75
2025-04-13 15:00:00,16.50,41.50
2025-04-13 16:00:00,17.50,44.50
2025-04-13 17:00:00,16.00,40.00
2025-04-13 18:00:00,16.50,41.00
2025-04-13 19:00:00,16.75,41.25
2025-04-13 20:00:00,13.25,33.50
2025-04-13 21:00:00,14.00,34.75
2025-04-13 22:00:00,13.50,33.00
2025-04-13 23:00:00,12.50,31.50
2025-04-14 00:00:00,15.50,39.50
2025-04-14 01:00:00,18.50,46.50
2025-04-14 02:00:00,13.00,33.25
2025-04-14 03:00:00,11.50,29.00
