H,split,model,MAE,RMSE,R2,n_test,tau,val_obj
1,test,Hybrid,14.908778954347563,27.66210308926822,0.9449059616463253,117660,2.0,
1,test,Tuned-Hybrid,14.935237458411054,27.604516778691814,0.9451351098066527,117660,2.0,19.082204879546612
1,test,XGB,14.991774559020996,28.539987452503592,0.9413535594940186,117660,,
1,test,Huber,15.040427607662906,28.082521764212313,0.9432185571102318,117660,,
1,test,Ridge,15.115126609802246,27.748883749016034,0.9445597529411316,117660,,
1,test,RF,15.2704427793665,28.326590506486145,0.9422272787071366,117660,,
1,test,SG-Huber,16.22750354199579,29.841037068232758,0.9358846466151343,117660,2.0,
1,test,Tuned-Huber-Graph,16.229524680141505,29.842169690630328,0.9358797795012179,117660,2.0,19.082204879546612
1,test,Huber-Graph,16.232441877893912,29.846694433224293,0.9358603338985186,117660,2.0,
1,test,SG-Ridge,16.36200523376465,29.64234744764711,0.9367355704307556,117660,2.0,
3,test,XGB,25.74614715576172,46.394979692042114,0.8453389406204224,117660,,
3,test,Tuned-Hybrid,26.88702149996064,46.58469605791326,0.8440715153765949,117660,6.0,37.22914004366075
3,test,Huber,26.947600989670363,48.004413822267196,0.8344225203882114,117660,,
3,test,Hybrid,26.959083015177136,47.33608675692779,0.8390008325708306,117660,6.0,
3,test,Ridge,27.168733596801758,47.39220653477083,0.8386188745498657,117660,,
3,test,RF,27.207037274200086,48.09055790291923,0.8338277285102156,117660,,
3,test,SG-Huber,31.544929063926716,55.287419097724126,0.7803700516445831,117660,6.0,
3,test,Tuned-Huber-Graph,31.546642179363648,55.29317474977473,0.7803243204680146,117660,6.0,37.22914004366075
3,test,Huber-Graph,31.55062836544854,55.30245990862862,0.7802505357793517,117660,6.0,
3,test,SG-Ridge,32.25664138793945,54.36067295087392,0.7876713871955872,117660,6.0,
6,test,XGB,31.789409637451172,56.93415107467354,0.7676377296447754,117660,,
6,test,Huber,33.407920040063836,59.33026050445938,0.7476679069954393,117660,,
6,test,Tuned-Hybrid,33.820295967559105,58.318203138179584,0.7562030611619055,117660,6.0,49.433477711734284
6,test,RF,33.83718124148111,59.791093627826704,0.7437328295081505,117660,,
6,test,Hybrid,33.930532078820974,58.580262742158006,0.7540070786778872,117660,6.0,
6,test,Ridge,34.01481628417969,58.63643445258673,0.7535350918769836,117660,,
6,test,SG-Huber,40.52299789423889,70.74308685581869,0.6412532362299497,117660,6.0,
6,test,Tuned-Huber-Graph,40.55570532173968,70.7779252662686,0.6408998096265339,117660,6.0,49.433477711734284
6,test,Huber-Graph,40.606660323933056,70.83624251680105,0.6403078068762882,117660,6.0,
6,test,SG-Ridge,40.83724594116211,68.5888167360394,0.6627696752548218,117660,6.0,
12,test,XGB,34.3679084777832,60.20311688943626,0.7405097484588623,117660,,
12,test,Huber,36.32551133109807,64.7217147325526,0.7000953677899753,117660,,
12,test,RF,37.15889789015806,64.69538090370644,0.7003393672143041,117660,,
12,test,Ridge,37.42865753173828,63.99287947144491,0.7068118453025818,117660,,
12,test,Hybrid,39.48142307339796,66.75960888491453,0.6809118241453913,117660,6.0,
12,test,Tuned-Hybrid,39.682919319775884,66.03867842695358,0.6877662169979679,117660,6.0,58.29387299434258
12,test,SG-Huber,46.11254640333855,79.84761057061954,0.5435355152930548,117660,6.0,
12,test,Tuned-Huber-Graph,46.30368274053255,80.11543705669325,0.540468214711262,117660,6.0,58.29387299434258
12,test,Huber-Graph,46.404751905762815,80.27876395163157,0.5385926609731416,117660,6.0,
12,test,SG-Ridge,46.544273376464844,77.7331736716217,0.5673906803131104,117660,6.0,
24,test,XGB,36.81632995605469,63.29879964983044,0.7139505743980408,117660,,
24,test,Huber,37.80211127594276,67.07891679989119,0.6787654980828541,117660,,
24,test,RF,38.28969686307251,66.19888742514715,0.6871389609767646,117660,,
24,test,SG-Huber,38.62057845258224,68.35800553318698,0.6663978291248205,117660,4.0,
24,test,Tuned-Huber-Graph,38.624789405967476,68.36111731197097,0.6663674560974766,117660,4.0,64.15004093995003
24,test,Huber-Graph,38.62956550399201,68.37020744738341,0.6662787224208426,117660,4.0,
24,test,Ridge,38.9977912902832,66.10535506863268,0.6880223751068115,117660,,
24,test,SG-Ridge,39.51083755493164,66.95601474218914,0.6799415349960327,117660,4.0,
24,test,Hybrid,39.70522727277128,66.5421455072367,0.6838860208733957,117660,4.0,
24,test,Tuned-Hybrid,40.62061500758621,66.78689391647404,0.6815563491402924,117660,4.0,64.15004093995003
