H,split,model,percentile,threshold,tail_MAE,tail_RMSE,n_tail,tau,val_obj
1,test,Huber,90,284.0,41.511189506037454,63.795035371637994,11874,,
1,test,Huber,95,357.0,49.267576331370535,75.42887344722712,5904,,
1,test,Huber,99,505.57452392578125,75.02465857001509,115.89611514553684,1177,,
1,test,Huber-Graph,90,284.0,45.028665873726375,67.5399523042493,11874,2.0,
1,test,Huber-Graph,95,357.0,52.80348429248162,79.62818081080258,5904,2.0,
1,test,Huber-Graph,99,505.57452392578125,78.26640798553005,120.69509950615273,1177,2.0,
1,test,Hybrid,90,284.0,39.78204443061795,61.16191161645798,11874,2.0,
1,test,Hybrid,95,357.0,48.34305663349435,73.04817709779358,5904,2.0,
1,test,Hybrid,99,505.57452392578125,79.69692332553427,116.45980064163142,1177,2.0,
1,test,RF,90,284.0,42.425292877605635,64.76296704504082,11874,,
1,test,RF,95,357.0,51.156665773726615,77.91743922415004,5904,,
1,test,RF,99,505.57452392578125,82.30986193202712,123.81862753600043,1177,,
1,test,Ridge,90,284.0,41.812137603759766,63.47132526471599,11874,,
1,test,Ridge,95,357.0,50.289817810058594,75.74364724289589,5904,,
1,test,Ridge,99,505.57452392578125,78.6358871459961,118.05257783213588,1177,,
1,test,SG-Huber,90,284.0,44.965340598470924,67.50271697545212,11874,2.0,
1,test,SG-Huber,95,357.0,52.712917724368566,79.56902904915859,5904,2.0,
1,test,SG-Huber,99,505.57452392578125,78.13411018856759,120.60832514058318,1177,2.0,
1,test,SG-Ridge,90,284.0,45.34477233886719,67.54328039533245,11874,2.0,
1,test,SG-Ridge,95,357.0,53.77720642089844,80.1312095390273,5904,2.0,
1,test,SG-Ridge,99,505.57452392578125,81.13607025146484,122.42118398815828,1177,2.0,
1,test,Tuned-Huber-Graph,90,284.0,44.991645887462475,67.51474422290585,11874,2.0,19.082204879546612
1,test,Tuned-Huber-Graph,95,357.0,52.74565272001124,79.58683319224818,5904,2.0,19.082204879546612
1,test,Tuned-Huber-Graph,99,505.57452392578125,78.17822558795959,120.63315019261454,1177,2.0,19.082204879546612
1,test,Tuned-Hybrid,90,284.0,39.14950645699989,60.62300963721628,11874,2.0,19.082204879546612
1,test,Tuned-Hybrid,95,357.0,48.42435013881145,73.224696574041,5904,2.0,19.082204879546612
1,test,Tuned-Hybrid,99,505.57452392578125,81.13551879274067,118.3775976814038,1177,2.0,19.082204879546612
1,test,XGB,90,284.0,44.67265701293945,69.1248445974745,11874,,
1,test,XGB,95,357.0,57.682430267333984,87.15502307311381,5904,,
1,test,XGB,99,505.57452392578125,108.32759857177734,152.1038848842297,1177,,
3,test,Huber,90,285.0,84.84371628676396,115.34920493736638,11787,,
3,test,Huber,95,357.0,107.72093811891307,142.5499572019503,5931,,
3,test,Huber,99,506.0,183.49523088457656,230.12023768920255,1180,,
3,test,Huber-Graph,90,285.0,99.10419203659362,131.52816477463318,11787,6.0,
3,test,Huber-Graph,95,357.0,122.54506365864175,159.9261839895351,5931,6.0,
3,test,Huber-Graph,99,506.0,197.35986588971838,248.4966086487907,1180,6.0,
3,test,Hybrid,90,285.0,72.97450151788856,103.73549339935548,11787,6.0,
3,test,Hybrid,95,357.0,92.88162322522477,128.03524460004084,5931,6.0,
3,test,Hybrid,99,506.0,174.62761999279502,218.87048721609392,1180,6.0,
3,test,RF,90,285.0,84.80175216624856,116.09180509763038,11787,,
3,test,RF,95,357.0,110.9547029956353,146.09053496083996,5931,,
3,test,RF,99,506.0,203.65773311863788,244.64189820891872,1180,,
3,test,Ridge,90,285.0,81.9345703125,112.30509157536002,11787,,
3,test,Ridge,95,357.0,104.85250854492188,139.49485457580505,5931,,
3,test,Ridge,99,506.0,181.9662628173828,227.97339140237398,1180,,
3,test,SG-Huber,90,285.0,99.143682051925,131.55090816885337,11787,6.0,
3,test,SG-Huber,95,357.0,122.63949467979738,159.99533559451262,5931,6.0,
3,test,SG-Huber,99,506.0,197.53017825381534,248.6034979684978,1180,6.0,
3,test,SG-Ridge,90,285.0,96.53675842285156,128.61544091058818,11787,6.0,
3,test,SG-Ridge,95,357.0,121.10363006591797,157.80532161891753,5931,6.0,
3,test,SG-Ridge,99,506.0,199.26898193359375,248.5689746453688,1180,6.0,
3,test,Tuned-Huber-Graph,90,285.0,99.11736124902981,131.5343186336709,11787,6.0,37.22914004366075
3,test,Tuned-Huber-Graph,95,357.0,122.58861149012658,159.95780026779474,5931,6.0,37.22914004366075
3,test,Tuned-Huber-Graph,99,506.0,197.45011374928717,248.55367653155,1180,6.0,37.22914004366075
3,test,Tuned-Hybrid,90,285.0,70.00165073046277,100.78438192606558,11787,6.0,37.22914004366075
3,test,Tuned-Hybrid,95,357.0,91.91897200147838,126.42714649705691,5931,6.0,37.22914004366075
3,test,Tuned-Hybrid,99,506.0,177.7632135220417,218.3272005923128,1180,6.0,37.22914004366075
3,test,XGB,90,285.0,81.84011840820312,114.88560036782242,11787,,
3,test,XGB,95,357.0,110.219970703125,147.00296287405232,5931,,
3,test,XGB,99,506.0,213.08294677734375,254.81562728029456,1180,,
6,test,Huber,90,285.0,114.69182189186907,149.28809961999872,11846,,
6,test,Huber,95,358.0,154.76139718002045,190.9137402605467,5895,,
6,test,Huber,99,506.0,270.8060291014933,313.15167034797247,1183,,
6,test,Huber-Graph,90,285.0,144.95570173996768,178.8610542449637,11846,6.0,
6,test,Huber-Graph,95,358.0,192.70126422511524,226.86900883682534,5895,6.0,
6,test,Huber-Graph,99,506.0,317.62155968778086,356.3113515635641,1183,6.0,
6,test,Hybrid,90,285.0,89.04471310672038,125.63957826966447,11846,6.0,
6,test,Hybrid,95,358.0,120.29423966650326,160.89162199772898,5895,6.0,
6,test,Hybrid,99,506.0,239.66174049792176,282.2049899138466,1183,6.0,
6,test,RF,90,285.0,114.37436897548355,150.4772163808296,11846,,
6,test,RF,95,358.0,162.1589879823494,196.1662893106001,5895,,
6,test,RF,99,506.0,294.78695617301946,328.90711439234155,1183,,
6,test,Ridge,90,285.0,108.00707244873047,143.1401397560272,11846,,
6,test,Ridge,95,358.0,147.1558074951172,184.05315129059866,5895,,
6,test,Ridge,99,506.0,262.6998596191406,305.990617196835,1183,,
6,test,SG-Huber,90,285.0,144.936337213664,178.81835625713038,11846,6.0,
6,test,SG-Huber,95,358.0,192.85456882696064,226.92777053544344,5895,6.0,
6,test,SG-Huber,99,506.0,317.61606634287557,356.3175667355886,1183,6.0,
6,test,SG-Ridge,90,285.0,134.4480438232422,168.94543659677524,11846,6.0,
6,test,SG-Ridge,95,358.0,182.19918823242188,216.51858320938643,5895,6.0,
6,test,SG-Ridge,99,506.0,307.268798828125,345.79895034904314,1183,6.0,
6,test,Tuned-Huber-Graph,90,285.0,144.91762170942488,178.81233677846924,11846,6.0,49.433477711734284
6,test,Tuned-Huber-Graph,95,358.0,192.7764820419631,226.88691372479653,5895,6.0,49.433477711734284
6,test,Tuned-Huber-Graph,99,506.0,317.6697493145968,356.32334876758347,1183,6.0,49.433477711734284
6,test,Tuned-Hybrid,90,285.0,89.79136871417953,127.77396601443026,11846,6.0,49.433477711734284
6,test,Tuned-Hybrid,95,358.0,124.54514891673472,166.01686681195372,5895,6.0,49.433477711734284
6,test,Tuned-Hybrid,99,506.0,251.968436793814,293.32182310190535,1183,6.0,49.433477711734284
6,test,XGB,90,285.0,104.73554229736328,143.09053214879384,11846,,
6,test,XGB,95,358.0,149.45269775390625,187.7799784654903,5895,,
6,test,XGB,99,506.0,288.16485595703125,325.28722884552354,1183,,
12,test,Huber,90,286.0,132.4758821624697,167.21511877570734,11767,,
12,test,Huber,95,359.0,177.92967367646082,212.6513780704613,5897,,
12,test,Huber,99,506.0,302.0806308512355,342.1235505007668,1183,,
12,test,Huber-Graph,90,286.0,180.0508681042601,210.50152044703486,11767,6.0,
12,test,Huber-Graph,95,359.0,240.80121074865954,267.07054418281797,5897,6.0,
12,test,Huber-Graph,99,506.0,379.178685661028,407.0111312744571,1183,6.0,
12,test,Hybrid,90,286.0,100.25845226883072,137.97798528858291,11767,6.0,
12,test,Hybrid,95,359.0,132.45202767519464,173.89838341867522,5897,6.0,
12,test,Hybrid,99,506.0,257.8953773332691,301.3129557628031,1183,6.0,
12,test,RF,90,286.0,126.50242612398061,162.498771656499,11767,,
12,test,RF,95,359.0,178.49501075156434,210.3798542211305,5897,,
12,test,RF,99,506.0,316.1786408159031,344.4863078746876,1183,,
12,test,Ridge,90,286.0,124.82367706298828,160.51776576130132,11767,,
12,test,Ridge,95,359.0,170.12158203125,205.6935960810399,5897,,
