H,split,model,MAE,RMSE,R2,n_test,tau,val_obj
1,test,Hybrid,0.07230639258150272,0.12143667857203129,0.9562630105921652,36224,0.0,
1,test,XGB,0.07301920652389526,0.13277238352156068,0.947716474533081,36224,,
1,test,Huber,0.07330002577034192,0.12261167971515104,0.9554125321599277,36224,,
1,test,Tuned-Hybrid,0.07506015313729471,0.12334891386428727,0.9548747330226477,36224,0.0,0.6173118027604618
1,test,SG-Huber,0.07511105239110714,0.1269956893296017,0.952167058972532,36224,0.0,
1,test,Tuned-Huber-Graph,0.07511764673087888,0.12681624619315068,0.9523021380287164,36224,0.0,0.6173118027604618
1,test,Huber-Graph,0.0751811388895162,0.12682644131625218,0.952294468583578,36224,0.0,
1,test,Ridge,0.07518384605646133,0.12270446091059126,0.9553450345993042,36224,,
1,test,RF,0.07537169703526289,0.12453746055871193,0.9540009209734205,36224,,
1,test,SG-Ridge,0.07590676844120026,0.12601609312137277,0.9529021382331848,36224,0.0,
3,test,Huber,0.11197516354474069,0.18880537203996148,0.8942749695250449,36224,,
3,test,Hybrid,0.11247052900582419,0.19055456336984822,0.8923069114777458,36224,0.0,
3,test,XGB,0.11282393336296082,0.19465310366934396,0.8876244425773621,36224,,
3,test,SG-Huber,0.11428984928059333,0.19511515242907473,0.8870903346990114,36224,0.0,
3,test,Tuned-Huber-Graph,0.11434510180832898,0.19485381505514582,0.8873925947117299,36224,0.0,1.3826502229663291
3,test,Huber-Graph,0.11462778530466958,0.19494027686382467,0.8872926387519955,36224,0.0,
3,test,SG-Ridge,0.11615204811096191,0.1926438066775342,0.8899324536323547,36224,0.0,
3,test,Ridge,0.11629542708396912,0.18887430432076022,0.8941977620124817,36224,,
3,test,Tuned-Hybrid,0.1171683841913955,0.1959889486136395,0.8860767696205486,36224,0.0,1.3826502229663291
3,test,RF,0.1177715486786685,0.19356881640024345,0.8888729171570565,36224,,
6,test,SG-Huber,0.16068548091002607,0.2722644310105493,0.7801477364319245,36224,0.0,
6,test,Huber,0.16071283074108114,0.2682378513781819,0.7866025387984967,36224,,
6,test,Tuned-Huber-Graph,0.16080084391288388,0.271859631997683,0.7808009970869391,36224,0.0,2.6538374494510917
6,test,Huber-Graph,0.16148897024386547,0.27218527888720706,0.780275547794691,36224,0.0,
6,test,SG-Ridge,0.16372711956501007,0.26815983268141363,0.7867266535758972,36224,0.0,
6,test,XGB,0.16455015540122986,0.2768077102723906,0.7727491855621338,36224,,
6,test,Hybrid,0.16634023073081383,0.2760487564876438,0.7739936116512731,36224,0.0,
6,test,Ridge,0.16839079558849335,0.268322098321063,0.786468505859375,36224,,
6,test,RF,0.1717792126580736,0.2771416806989705,0.7722004731488824,36224,,
6,test,Tuned-Hybrid,0.17298498331385814,0.28063040906932823,0.7664291809802533,36224,0.0,2.6538374494510917
12,test,SG-Huber,0.22310749108803912,0.37129688422095386,0.5911238914788826,36224,0.0,
12,test,Tuned-Huber-Graph,0.22410255676715277,0.37110989608741674,0.5915356144528869,36224,0.0,4.694168611497207
12,test,Huber-Graph,0.2251968579918135,0.37167237996539926,0.5902964734260164,36224,0.0,
12,test,Huber,0.22759707230900666,0.37223724643673856,0.5890501949322016,36224,,
12,test,SG-Ridge,0.22945624589920044,0.36596773337052874,0.6027767658233643,36224,0.0,
12,test,XGB,0.24092675745487213,0.3888784271869075,0.5514851808547974,36224,,
12,test,Ridge,0.2420876920223236,0.3729845763909039,0.5873984098434448,36224,,
12,test,RF,0.24588456561251348,0.39010272394090845,0.5486566057437634,36224,,
12,test,Hybrid,0.24877433263846588,0.3961813665298781,0.5344812090335564,36224,0.0,
12,test,Tuned-Hybrid,0.2629794491866853,0.40547981939222166,0.5123731469451034,36224,0.0,4.694168611497207
24,test,SG-Huber,0.29349077002400564,0.47483599811429433,0.33129218732722465,36224,0.0,
24,test,Tuned-Huber-Graph,0.2960673669911433,0.4755626968346538,0.32924381286984006,36224,0.0,6.769751954197703
24,test,Huber-Graph,0.29676189868176983,0.4758534036686201,0.32842350880644133,36224,0.0,
24,test,Huber,0.30190601192904604,0.4783172274901069,0.3214510682573688,36224,,
24,test,SG-Ridge,0.30909422039985657,0.469916767146508,0.3450758457183838,36224,0.0,
24,test,RF,0.3267243185555817,0.492170918096497,0.2815756873941636,36224,,
24,test,Ridge,0.32737234234809875,0.4811841244631818,0.3132926821708679,36224,,
24,test,XGB,0.3362855613231659,0.5122860973852289,0.22165119647979736,36224,,
24,test,Hybrid,0.3638081146314998,0.5449046508004771,0.11937673612238542,36224,0.0,
24,test,Tuned-Hybrid,0.39125835691568506,0.5581438049732776,0.07606516324863444,36224,0.0,6.769751954197703
