H,split,model,percentile,threshold,tail_MAE,tail_RMSE,n_tail,tau,val_obj
1,test,Huber,90,1.590000033378601,0.19492385445411015,0.28389036539940726,3659,,
1,test,Huber,95,1.940000057220459,0.2502337959778268,0.3545120658128433,1816,,
1,test,Huber,99,3.0876951217651367,0.40090700668020574,0.5474064614879216,363,,
1,test,Huber-Graph,90,1.590000033378601,0.20361579888158413,0.2981236145805754,3659,0.0,
1,test,Huber-Graph,95,1.940000057220459,0.26298406602591345,0.373369835793136,1816,0.0,
1,test,Huber-Graph,99,3.0876951217651367,0.420502139399461,0.5791859778205467,363,0.0,
1,test,Hybrid,90,1.590000033378601,0.19705412596787225,0.2832971839840692,3659,0.0,
1,test,Hybrid,95,1.940000057220459,0.24500852321768252,0.34859856793484106,1816,0.0,
1,test,Hybrid,99,3.0876951217651367,0.4067327291979762,0.5548656378938911,363,0.0,
1,test,RF,90,1.590000033378601,0.1955149009177446,0.28571516827002214,3659,,
1,test,RF,95,1.940000057220459,0.24948557728364848,0.35747407239195167,1816,,
1,test,RF,99,3.0876951217651367,0.4176643877679496,0.5678973316595883,363,,
1,test,Ridge,90,1.590000033378601,0.19291622936725616,0.28052784342363757,3659,,
1,test,Ridge,95,1.940000057220459,0.24767524003982544,0.3509612027534471,1816,,
1,test,Ridge,99,3.0876951217651367,0.3998138904571533,0.5463701642812336,363,,
1,test,SG-Huber,90,1.590000033378601,0.20430601959690925,0.2988787791707142,3659,0.0,
1,test,SG-Huber,95,1.940000057220459,0.26431765972207877,0.37438631537978573,1816,0.0,
1,test,SG-Huber,99,3.0876951217651367,0.4217558701286351,0.5797090765766985,363,0.0,
1,test,SG-Ridge,90,1.590000033378601,0.20059838891029358,0.29341107356114327,3659,0.0,
1,test,SG-Ridge,95,1.940000057220459,0.2588654160499573,0.36749773920103385,1816,0.0,
1,test,SG-Ridge,99,3.0876951217651367,0.41407305002212524,0.5709912167623518,363,0.0,
1,test,Tuned-Huber-Graph,90,1.590000033378601,0.20369655559246955,0.2982262773570561,3659,0.0,0.6173118027604618
1,test,Tuned-Huber-Graph,95,1.940000057220459,0.2632225563555006,0.3735424802270068,1816,0.0,0.6173118027604618
1,test,Tuned-Huber-Graph,99,3.0876951217651367,0.4207916294615942,0.5793105229891805,363,0.0,0.6173118027604618
1,test,Tuned-Hybrid,90,1.590000033378601,0.19985000736561293,0.2833731063040278,3659,0.0,0.6173118027604618
1,test,Tuned-Hybrid,95,1.940000057220459,0.24327157999964505,0.34396448059572915,1816,0.0,0.6173118027604618
1,test,Tuned-Hybrid,99,3.0876951217651367,0.3840468854597287,0.525859639357684,363,0.0,0.6173118027604618
1,test,XGB,90,1.590000033378601,0.20275405049324036,0.3298580745367634,3659,,
1,test,XGB,95,1.940000057220459,0.27012965083122253,0.428874738331256,1816,,
1,test,XGB,99,3.0876951217651367,0.5231442451477051,0.7804162726644841,363,,
3,test,Huber,90,1.590000033378601,0.308078039222498,0.4544245793340636,3659,,
3,test,Huber,95,1.940000057220459,0.4012899562403593,0.5707320180561914,1816,,
3,test,Huber,99,3.0876951217651367,0.6480735118210867,0.8889190483487382,363,,
3,test,Huber-Graph,90,1.590000033378601,0.3240173349380677,0.4766188058746846,3659,0.0,
3,test,Huber-Graph,95,1.940000057220459,0.4279805294675594,0.6045925109357859,1816,0.0,
3,test,Huber-Graph,99,3.0876951217651367,0.6661120791863834,0.9364661688686207,363,0.0,
3,test,Hybrid,90,1.590000033378601,0.30880371140288215,0.45270873971013603,3659,0.0,
3,test,Hybrid,95,1.940000057220459,0.381875778696007,0.5592058659101315,1816,0.0,
3,test,Hybrid,99,3.0876951217651367,0.6538814512021801,0.9128607667745753,363,0.0,
3,test,RF,90,1.590000033378601,0.3063551289294947,0.4562347059052633,3659,,
3,test,RF,95,1.940000057220459,0.3986440347255911,0.5760722435815255,1816,,
3,test,RF,99,3.0876951217651367,0.6899677254674592,0.9429635816101631,363,,
3,test,Ridge,90,1.590000033378601,0.30170130729675293,0.44614374645539845,3659,,
3,test,Ridge,95,1.940000057220459,0.39360758662223816,0.5612105318732982,1816,,
3,test,Ridge,99,3.0876951217651367,0.6464552283287048,0.8832953153982006,363,,
3,test,SG-Huber,90,1.590000033378601,0.32498077809204867,0.4778746907934035,3659,0.0,
3,test,SG-Huber,95,1.940000057220459,0.43047548497514765,0.6065360157846478,1816,0.0,
3,test,SG-Huber,99,3.0876951217651367,0.6674145425847157,0.9362374983346127,363,0.0,
3,test,SG-Ridge,90,1.590000033378601,0.31506359577178955,0.4639312539279526,3659,0.0,
3,test,SG-Ridge,95,1.940000057220459,0.41668733954429626,0.5889827684430395,1816,0.0,
3,test,SG-Ridge,99,3.0876951217651367,0.6506185531616211,0.9140350468091194,363,0.0,
3,test,Tuned-Huber-Graph,90,1.590000033378601,0.32432208128870516,0.47691350411494976,3659,0.0,1.3826502229663291
3,test,Tuned-Huber-Graph,95,1.940000057220459,0.428980395917948,0.6052241009450657,1816,0.0,1.3826502229663291
3,test,Tuned-Huber-Graph,99,3.0876951217651367,0.6666547266297793,0.936273795167192,363,0.0,1.3826502229663291
3,test,Tuned-Hybrid,90,1.590000033378601,0.3248276297757853,0.4632243357005907,3659,0.0,1.3826502229663291
3,test,Tuned-Hybrid,95,1.940000057220459,0.3918184595830482,0.5612765978109119,1816,0.0,1.3826502229663291
3,test,Tuned-Hybrid,99,3.0876951217651367,0.6081012788343347,0.8720592752346586,363,0.0,1.3826502229663291
3,test,XGB,90,1.590000033378601,0.30730533599853516,0.472998739324547,3659,,
3,test,XGB,95,1.940000057220459,0.40815478563308716,0.6067034038574597,1816,,
3,test,XGB,99,3.0876951217651367,0.746983528137207,1.0355689035991582,363,,
6,test,Huber,90,1.590000033378601,0.4590471907848289,0.660576918660008,3659,,
6,test,Huber,95,1.940000057220459,0.6200217091739832,0.8482162557382139,1816,,
6,test,Huber,99,3.0876951217651367,0.989370045906111,1.3158640953668703,363,,
6,test,Huber-Graph,90,1.590000033378601,0.4800809428937763,0.6818942151064228,3659,0.0,
6,test,Huber-Graph,95,1.940000057220459,0.6553475267473768,0.8791404149817086,1816,0.0,
6,test,Huber-Graph,99,3.0876951217651367,1.0251376066811584,1.3627272325836466,363,0.0,
6,test,Hybrid,90,1.590000033378601,0.45586309233796235,0.6528588918482954,3659,0.0,
6,test,Hybrid,95,1.940000057220459,0.5906953569350427,0.8251664939635757,1816,0.0,
6,test,Hybrid,99,3.0876951217651367,1.0437939813578552,1.335894854770171,363,0.0,
6,test,RF,90,1.590000033378601,0.44914352469257096,0.6624574848578677,3659,,
6,test,RF,95,1.940000057220459,0.6099961473733546,0.8566837964964719,1816,,
6,test,RF,99,3.0876951217651367,1.0263864311426445,1.3792948322003586,363,,
6,test,Ridge,90,1.590000033378601,0.44258037209510803,0.6424920392563728,3659,,
