H,split,model,percentile,threshold,tail_MAE,tail_RMSE,n_tail,tau,alpha,eps,huber_alpha,val_objective,max_depth,eta,subsample,colsample_bytree,lambda,num_boost_round,w_mid,w_danger,w_tail
1,test,Huber,90,37.66999816894531,15.529100568253899,44.145631914117004,2301,,,,,,,,,,,,,,
1,test,Huber,95,44.984493255615234,21.730428878849484,60.507116157000645,1150,,,,,,,,,,,,,,
1,test,Huber,99,61.66539001464844,50.391717890029426,130.6248317674172,230,,,,,,,,,,,,,,
1,test,Huber Graph,90,37.66999816894531,15.707528773715095,43.86739777320304,2301,6.0,,,,,,,,,,,,,
1,test,Huber Graph,95,44.984493255615234,21.888952770028858,60.6777213878562,1150,6.0,,,,,,,,,,,,,
1,test,Huber Graph,99,61.66539001464844,49.92705519495542,130.76836928628043,230,6.0,,,,,,,,,,,,,
1,test,Hybrid (Graph + XGB residual),90,37.66999816894531,15.117894776672033,43.847769990007805,2301,6.0,,,,,,,,,,,,,
1,test,Hybrid (Graph + XGB residual),95,44.984493255615234,20.708422575781032,60.221677131085094,1150,6.0,,,,,,,,,,,,,
1,test,Hybrid (Graph + XGB residual),99,61.66539001464844,47.290175153065405,130.07205679605113,230,6.0,,,,,,,,,,,,,
1,test,RF,90,37.66999816894531,15.2983987307547,43.86043688505069,2301,,,,,,,,,,,,,,
1,test,RF,95,44.984493255615234,21.50918477816868,60.47784723406338,1150,,,,,,,,,,,,,,
1,test,RF,99,61.66539001464844,50.28367572112592,130.5004537988919,230,,,,,,,,,,,,,,
1,test,Ridge,90,37.66999816894531,16.8395938873291,45.190016300530225,2301,,,,,,,,,,,,,,
1,test,Ridge,95,44.984493255615234,23.567602157592773,60.96914442786306,1150,,,,,,,,,,,,,,
1,test,Ridge,99,61.66539001464844,54.133636474609375,131.16162203079833,230,,,,,,,,,,,,,,
1,test,Static-Graph Huber,90,37.66999816894531,15.740250764305816,43.880669362686945,2301,6.0,,,,,,,,,,,,,
1,test,Static-Graph Huber,95,44.984493255615234,21.9291130104394,60.69041075221169,1150,6.0,,,,,,,,,,,,,
1,test,Static-Graph Huber,99,61.66539001464844,49.95906713362277,130.7705798427973,230,6.0,,,,,,,,,,,,,
1,test,Static-Graph Ridge,90,37.66999816894531,18.180644989013672,44.39065937388673,2301,6.0,,,,,,,,,,,,,
1,test,Static-Graph Ridge,95,44.984493255615234,25.82954978942871,61.52141316114049,1150,6.0,,,,,,,,,,,,,
1,test,Static-Graph Ridge,99,61.66539001464844,56.411319732666016,131.64204097903146,230,6.0,,,,,,,,,,,,,
1,test,Tuned Huber Graph,90,37.66999816894531,15.707633686261595,43.86745036816892,2301,6.0,3.842951781528555,0.047399932900472924,1.6633619682580091e-06,13.328726903448317,,,,,,,,,
1,test,Tuned Huber Graph,95,44.984493255615234,21.889212455323246,60.677773200894535,1150,6.0,3.842951781528555,0.047399932900472924,1.6633619682580091e-06,13.328726903448317,,,,,,,,,
1,test,Tuned Huber Graph,99,61.66539001464844,49.927474607689454,130.76845356917158,230,6.0,3.842951781528555,0.047399932900472924,1.6633619682580091e-06,13.328726903448317,,,,,,,,,
1,test,Tuned Hybrid (Graph + XGB residual),90,37.66999816894531,14.974466478115625,44.12106985724436,2301,6.0,3.842951781528555,0.047399932900472924,1.6633619682580091e-06,13.328726903448317,5.0,0.05623276571392487,0.6,0.8473844151325475,4.762314859371926,378.0,3.1274990443054302,4.509392805081966,17.005172695715945
